seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,sub2,sub2,0,0,-1.0,1.0,142,0,28,0.0,2604.0,0.0,68.0,-2604.0,16.8
1,sub2,sub2,1,0,1.0,-1.0,207,24,0,3697.0,0.0,84.0,0.0,3697.0,18.0
2,sub2,sub2,1,0,1.0,-1.0,183,27,0,4696.0,0.0,67.0,0.0,4696.0,12.0
3,sub2,sub2,1,0,1.0,-1.0,228,32,0,5830.0,0.0,100.0,0.0,5830.0,35.1
4,sub2,sub2,1,0,1.0,-1.0,232,24,0,3670.0,0.0,56.0,0.0,3670.0,18.4
5,sub2,sub2,0,0,-1.0,1.0,175,0,36,0.0,3528.0,0.0,100.0,-3528.0,25.1
6,sub2,sub2,0,0,-1.0,1.0,92,0,25,0.0,1394.0,0.0,66.0,-1394.0,9.2
7,sub2,sub2,0,0,-1.0,1.0,190,0,20,0.0,1678.0,0.0,60.0,-1678.0,13.5
8,sub2,sub2,1,0,1.0,-1.0,142,36,0,5017.0,0.0,100.0,0.0,5017.0,16.0
9,sub2,sub2,0,0,-1.0,1.0,150,0,28,0.0,3470.0,0.0,68.0,-3470.0,13.7
10,sub2,sub2,0,0,-1.0,1.0,130,0,32,0.0,3100.0,0.0,80.0,-3100.0,14.6
11,sub2,sub2,1,0,1.0,-1.0,228,24,0,3742.0,0.0,44.0,0.0,3742.0,14.7
12,sub2,sub2,0,0,-1.0,1.0,118,0,26,0.0,2259.0,0.0,62.0,-2259.0,12.4
13,sub2,sub2,1,0,1.0,-1.0,211,36,0,4348.0,0.0,80.0,0.0,4348.0,29.6
14,sub2,sub2,0,0,-1.0,1.0,195,0,36,0.0,4943.0,0.0,108.0,-4943.0,37.5
15,sub2,sub2,1,0,1.0,-1.0,235,24,0,6919.0,0.0,72.0,0.0,6919.0,19.4
16,sub2,sub2,1,0,1.0,-1.0,143,28,0,5473.0,0.0,80.0,0.0,5473.0,7.3
17,sub2,sub2,1,0,1.0,-1.0,209,32,0,4459.0,0.0,72.0,0.0,4459.0,24.7
18,sub2,sub2,0,0,-1.0,1.0,120,0,17,0.0,1227.0,0.0,48.0,-1227.0,5.4
19,sub2,sub2,0,0,-1.0,1.0,208,0,24,0.0,3790.0,0.0,68.0,-3790.0,17.0
20,sub2,sub2,1,0,1.0,-1.0,246,24,0,2941.0,0.0,60.0,0.0,2941.0,27.9
21,sub2,sub2,1,0,1.0,-1.0,244,28,0,6609.0,0.0,84.0,0.0,6609.0,21.9
22,sub2,sub2,0,0,-1.0,1.0,196,0,32,0.0,2682.0,0.0,84.0,-2682.0,32.6
23,sub2,sub2,0,0,-1.0,1.0,186,0,24,0.0,2573.0,0.0,80.0,-2573.0,20.6
24,sub2,sub2,1,0,1.0,-1.0,248,24,0,5615.0,0.0,56.0,0.0,5615.0,14.8
25,sub2,sub2,0,0,-1.0,1.0,128,0,36,0.0,4733.0,0.0,104.0,-4733.0,16.4
26,sub2,sub2,1,0,1.0,-1.0,226,32,0,5144.0,0.0,76.0,0.0,5144.0,30.1
27,sub2,sub2,1,0,1.0,-1.0,178,28,0,3692.0,0.0,76.0,0.0,3692.0,16.9
28,sub2,sub2,0,0,-1.0,1.0,132,0,36,0.0,3407.0,0.0,100.0,-3407.0,12.5
29,sub2,sub2,0,0,-1.0,1.0,132,0,28,0.0,3605.0,0.0,88.0,-3605.0,13.0
