seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,sub2,sub2,0,0,-1.0,1.0,141,0,32,0.0,3879.0,0.0,96.0,-3879.0,17.2
1,sub2,sub2,1,0,1.0,-1.0,292,36,0,9528.0,0.0,84.0,0.0,9528.0,46.6
2,sub2,sub2,1,0,1.0,-1.0,269,33,0,4824.0,0.0,69.0,0.0,4824.0,38.4
3,sub2,sub2,1,0,1.0,-1.0,165,28,0,6626.0,0.0,96.0,0.0,6626.0,15.5
4,sub2,sub2,1,0,1.0,-1.0,194,28,0,4414.0,0.0,80.0,0.0,4414.0,22.8
5,sub2,sub2,1,0,1.0,-1.0,187,24,0,3155.0,0.0,76.0,0.0,3155.0,14.9
6,sub2,sub2,0,0,-1.0,1.0,168,0,32,0.0,4104.0,0.0,80.0,-4104.0,16.6
7,sub2,sub2,0,0,-1.0,1.0,162,0,36,0.0,4025.0,0.0,100.0,-4025.0,21.1
8,sub2,sub2,1,0,1.0,-1.0,161,36,0,3718.0,0.0,76.0,0.0,3718.0,21.3
9,sub2,sub2,1,0,1.0,-1.0,178,37,0,4449.0,0.0,77.0,0.0,4449.0,17.9
10,sub2,sub2,0,0,-1.0,1.0,157,0,36,0.0,4174.0,0.0,108.0,-4174.0,29.1
11,sub2,sub2,0,0,-1.0,1.0,139,0,22,0.0,1790.0,0.0,56.0,-1790.0,9.1
12,sub2,sub2,1,0,1.0,-1.0,143,36,0,5374.0,0.0,92.0,0.0,5374.0,12.8
13,sub2,sub2,1,0,1.0,-1.0,198,28,0,4121.0,0.0,68.0,0.0,4121.0,21.9
14,sub2,sub2,0,0,-1.0,1.0,137,0,24,0.0,2577.0,0.0,72.0,-2577.0,9.7
15,sub2,sub2,0,0,-1.0,1.0,141,0,28,0.0,2654.0,0.0,68.0,-2654.0,14.0
16,sub2,sub2,1,0,1.0,-1.0,165,35,0,4210.0,0.0,79.0,0.0,4210.0,18.5
17,sub2,sub2,0,0,-1.0,1.0,156,0,24,0.0,1876.0,0.0,52.0,-1876.0,11.2
18,sub2,sub2,1,0,1.0,-1.0,218,32,0,4185.0,0.0,72.0,0.0,4185.0,30.5
19,sub2,sub2,1,0,1.0,-1.0,174,34,0,4542.0,0.0,74.0,0.0,4542.0,13.5
