seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,sub2,sub2,0,0,-1.0,1.0,133,0,24,0.0,2673.0,0.0,72.0,-2673.0,8.9
1,sub2,sub2,1,0,1.0,-1.0,159,28,0,6284.0,0.0,88.0,0.0,6284.0,8.3
2,sub2,sub2,0,0,-1.0,1.0,226,0,32,0.0,5761.0,0.0,92.0,-5761.0,29.0
3,sub2,sub2,0,0,-1.0,1.0,151,0,20,0.0,2658.0,0.0,64.0,-2658.0,10.3
4,sub2,sub2,1,0,1.0,-1.0,158,28,0,3264.0,0.0,68.0,0.0,3264.0,12.7
5,sub2,sub2,1,0,1.0,-1.0,188,31,0,4918.0,0.0,83.0,0.0,4918.0,16.0
6,sub2,sub2,1,0,1.0,-1.0,312,32,0,3300.0,0.0,52.0,0.0,3300.0,46.7
7,sub2,sub2,1,0,1.0,-1.0,177,27,0,3381.0,0.0,87.0,0.0,3381.0,14.4
8,sub2,sub2,1,0,1.0,-1.0,211,36,0,5226.0,0.0,84.0,0.0,5226.0,31.1
9,sub2,sub2,0,0,-1.0,1.0,101,0,26,0.0,1363.0,0.0,50.0,-1363.0,8.7
10,sub2,sub2,0,0,-1.0,1.0,240,0,28,0.0,3068.0,0.0,68.0,-3068.0,19.8
11,sub2,sub2,1,0,1.0,-1.0,198,24,0,2123.0,0.0,40.0,0.0,2123.0,9.7
12,sub2,sub2,1,0,1.0,-1.0,220,24,0,4921.0,0.0,56.0,0.0,4921.0,13.8
13,sub2,sub2,0,0,-1.0,1.0,125,0,24,0.0,3103.0,0.0,64.0,-3103.0,7.3
14,sub2,sub2,0,0,-1.0,1.0,170,0,24,0.0,1927.0,0.0,48.0,-1927.0,7.3
15,sub2,sub2,0,0,-1.0,1.0,171,0,36,0.0,3525.0,0.0,92.0,-3525.0,26.2
16,sub2,sub2,0,0,-1.0,1.0,152,0,36,0.0,4537.0,0.0,100.0,-4537.0,22.0
17,sub2,sub2,0,0,-1.0,1.0,198,0,24,0.0,2586.0,0.0,72.0,-2586.0,13.5
18,sub2,sub2,0,0,-1.0,1.0,143,0,24,0.0,3088.0,0.0,72.0,-3088.0,9.3
19,sub2,sub2,0,0,-1.0,1.0,142,0,32,0.0,5027.0,0.0,100.0,-5027.0,19.8
