seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,opp_exposed,opp_exposed,1,0,1.0,-1.0,221,36,0,5435.0,0.0,76.0,0.0,5435.0,33.3
1,opp_exposed,opp_exposed,0,0,-1.0,1.0,109,0,20,0.0,1868.0,0.0,68.0,-1868.0,5.6
2,opp_exposed,opp_exposed,1,0,1.0,-1.0,201,32,0,3688.0,0.0,76.0,0.0,3688.0,29.1
3,opp_exposed,opp_exposed,1,0,1.0,-1.0,192,32,0,5442.0,0.0,80.0,0.0,5442.0,15.8
4,opp_exposed,opp_exposed,0,0,-1.0,1.0,191,0,28,0.0,4431.0,0.0,96.0,-4431.0,25.8
5,opp_exposed,opp_exposed,1,0,1.0,-1.0,233,24,0,3553.0,0.0,52.0,0.0,3553.0,16.4
6,opp_exposed,opp_exposed,0,0,-1.0,1.0,127,0,28,0.0,3263.0,0.0,84.0,-3263.0,13.2
7,opp_exposed,opp_exposed,1,0,1.0,-1.0,204,24,0,2725.0,0.0,52.0,0.0,2725.0,18.0
8,opp_exposed,opp_exposed,1,0,1.0,-1.0,226,40,0,6720.0,0.0,80.0,0.0,6720.0,29.0
9,opp_exposed,opp_exposed,1,0,1.0,-1.0,200,32,0,4402.0,0.0,72.0,0.0,4402.0,19.9
10,opp_exposed,opp_exposed,0,0,-1.0,1.0,133,0,19,0.0,1532.0,0.0,50.0,-1532.0,7.6
11,opp_exposed,opp_exposed,1,0,1.0,-1.0,193,24,0,3720.0,0.0,68.0,0.0,3720.0,17.3
12,opp_exposed,opp_exposed,1,0,1.0,-1.0,207,32,0,5133.0,0.0,84.0,0.0,5133.0,21.9
13,opp_exposed,opp_exposed,1,0,1.0,-1.0,173,27,0,4786.0,0.0,83.0,0.0,4786.0,13.2
14,opp_exposed,opp_exposed,0,0,-1.0,1.0,179,0,28,0.0,2410.0,0.0,64.0,-2410.0,15.4
15,opp_exposed,opp_exposed,0,0,-1.0,1.0,185,0,32,0.0,3725.0,0.0,108.0,-3725.0,29.9
16,opp_exposed,opp_exposed,0,0,-1.0,1.0,202,0,28,0.0,3755.0,0.0,80.0,-3755.0,24.4
17,opp_exposed,opp_exposed,1,0,1.0,-1.0,204,32,0,5104.0,0.0,100.0,0.0,5104.0,25.5
18,opp_exposed,opp_exposed,1,0,1.0,-1.0,315,32,0,4148.0,0.0,80.0,0.0,4148.0,51.2
19,opp_exposed,opp_exposed,0,0,-1.0,1.0,269,0,28,0.0,3422.0,0.0,76.0,-3422.0,25.6
20,opp_exposed,opp_exposed,1,0,1.0,-1.0,165,34,0,5447.0,0.0,78.0,0.0,5447.0,16.8
21,opp_exposed,opp_exposed,1,0,1.0,-1.0,181,33,0,6078.0,0.0,97.0,0.0,6078.0,27.4
22,opp_exposed,opp_exposed,0,0,-1.0,1.0,171,0,32,0.0,2907.0,0.0,92.0,-2907.0,21.8
23,opp_exposed,opp_exposed,1,0,1.0,-1.0,143,20,0,1367.0,0.0,52.0,0.0,1367.0,5.1
24,opp_exposed,opp_exposed,1,0,1.0,-1.0,366,32,0,14010.0,0.0,88.0,0.0,14010.0,44.1
25,opp_exposed,opp_exposed,1,0,1.0,-1.0,181,39,0,3520.0,0.0,79.0,0.0,3520.0,29.3
26,opp_exposed,opp_exposed,1,0,1.0,-1.0,140,32,0,4540.0,0.0,88.0,0.0,4540.0,14.5
27,opp_exposed,opp_exposed,1,0,1.0,-1.0,162,33,0,5881.0,0.0,89.0,0.0,5881.0,19.6
28,opp_exposed,opp_exposed,1,0,1.0,-1.0,151,28,0,3692.0,0.0,72.0,0.0,3692.0,12.8
29,opp_exposed,opp_exposed,0,0,-1.0,1.0,208,0,24,0.0,2435.0,0.0,48.0,-2435.0,13.0
