seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,sub2,sub2,1,0,1.0,-1.0,202,32,0,6183.0,0.0,96.0,0.0,6183.0,26.2
1,sub2,sub2,1,0,1.0,-1.0,171,35,0,4313.0,0.0,95.0,0.0,4313.0,21.3
2,sub2,sub2,1,0,1.0,-1.0,207,32,0,6426.0,0.0,92.0,0.0,6426.0,25.1
3,sub2,sub2,1,0,1.0,-1.0,173,44,0,3775.0,0.0,76.0,0.0,3775.0,18.2
4,sub2,sub2,1,0,1.0,-1.0,130,32,0,4642.0,0.0,88.0,0.0,4642.0,6.8
5,sub2,sub2,1,0,1.0,-1.0,185,28,0,3944.0,0.0,64.0,0.0,3944.0,19.0
6,sub2,sub2,1,0,1.0,-1.0,154,28,0,3305.0,0.0,64.0,0.0,3305.0,7.7
7,sub2,sub2,0,0,-1.0,1.0,132,0,20,0.0,2997.0,0.0,72.0,-2997.0,7.9
8,sub2,sub2,0,0,-1.0,1.0,162,0,28,0.0,3320.0,0.0,76.0,-3320.0,17.2
9,sub2,sub2,1,0,1.0,-1.0,226,24,0,3984.0,0.0,64.0,0.0,3984.0,18.1
10,sub2,sub2,1,0,1.0,-1.0,232,36,0,9768.0,0.0,116.0,0.0,9768.0,32.9
11,sub2,sub2,1,0,1.0,-1.0,214,28,0,4482.0,0.0,96.0,0.0,4482.0,30.1
12,sub2,sub2,0,0,-1.0,1.0,175,0,23,0.0,1900.0,0.0,58.0,-1900.0,11.4
13,sub2,sub2,1,0,1.0,-1.0,241,24,0,4781.0,0.0,52.0,0.0,4781.0,18.6
14,sub2,sub2,1,0,1.0,-1.0,207,28,0,5426.0,0.0,88.0,0.0,5426.0,16.2
15,sub2,sub2,1,0,1.0,-1.0,500,23,1,15327.0,930.0,48.0,4.0,14397.0,32.3
16,sub2,sub2,1,0,1.0,-1.0,218,24,0,4015.0,0.0,68.0,0.0,4015.0,17.4
17,sub2,sub2,0,0,-1.0,1.0,148,0,28,0.0,2207.0,0.0,68.0,-2207.0,14.9
18,sub2,sub2,0,0,-1.0,1.0,140,0,20,0.0,2522.0,0.0,44.0,-2522.0,7.9
19,sub2,sub2,0,0,-1.0,1.0,173,0,40,0.0,3489.0,0.0,100.0,-3489.0,30.7
20,sub2,sub2,1,0,1.0,-1.0,203,20,0,3668.0,0.0,56.0,0.0,3668.0,11.0
21,sub2,sub2,0,0,-1.0,1.0,133,0,28,0.0,2925.0,0.0,80.0,-2925.0,13.0
22,sub2,sub2,1,0,1.0,-1.0,199,28,0,3945.0,0.0,72.0,0.0,3945.0,15.8
23,sub2,sub2,1,0,1.0,-1.0,153,36,0,5925.0,0.0,108.0,0.0,5925.0,20.9
24,sub2,sub2,0,0,-1.0,1.0,124,0,36,0.0,4424.0,0.0,84.0,-4424.0,15.4
25,sub2,sub2,1,0,1.0,-1.0,198,32,0,5602.0,0.0,92.0,0.0,5602.0,26.1
26,sub2,sub2,1,0,1.0,-1.0,236,24,0,4125.0,0.0,60.0,0.0,4125.0,18.2
27,sub2,sub2,1,0,1.0,-1.0,189,28,0,3527.0,0.0,64.0,0.0,3527.0,16.9
28,sub2,sub2,1,0,1.0,-1.0,412,24,0,12719.0,0.0,92.0,0.0,12719.0,26.7
29,sub2,sub2,0,0,-1.0,1.0,173,0,33,0.0,1922.0,0.0,61.0,-1922.0,23.0
