seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,152,20,0,2755.0,0.0,56.0,0.0,2755.0,2.5
1,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,208,31,0,4066.0,0.0,59.0,0.0,4066.0,7.5
2,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,170,32,0,4123.0,0.0,124.0,0.0,4123.0,8.5
3,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,132,32,0,5217.0,0.0,100.0,0.0,5217.0,3.9
4,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,146,0,22,0.0,2880.0,0.0,65.0,-2880.0,2.5
5,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,197,0,21,0.0,2866.0,0.0,54.0,-2866.0,3.7
6,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,136,34,0,3035.0,0.0,77.0,0.0,3035.0,5.4
7,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,297,0,36,0.0,6344.0,0.0,104.0,-6344.0,13.6
8,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,166,0,19,0.0,2400.0,0.0,63.0,-2400.0,2.6
9,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,178,36,0,3274.0,0.0,72.0,0.0,3274.0,7.9
10,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,163,31,0,2107.0,0.0,83.0,0.0,2107.0,4.9
11,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,170,30,0,3798.0,0.0,82.0,0.0,3798.0,4.8
12,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,214,27,0,1935.0,0.0,59.0,0.0,1935.0,5.7
13,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,239,0,35,0.0,4270.0,0.0,79.0,-4270.0,12.2
14,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,128,32,0,2885.0,0.0,76.0,0.0,2885.0,4.6
15,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,309,32,0,6063.0,0.0,60.0,0.0,6063.0,12.6
16,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,206,20,0,1753.0,0.0,52.0,0.0,1753.0,3.3
17,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,121,32,0,3261.0,0.0,104.0,0.0,3261.0,4.4
18,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,151,0,23,0.0,3687.0,0.0,52.0,-3687.0,4.8
19,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,210,36,0,4083.0,0.0,88.0,0.0,4083.0,10.2
20,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,157,0,22,0.0,2858.0,0.0,64.0,-2858.0,3.1
21,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,206,0,37,0.0,4051.0,0.0,76.0,-4051.0,9.7
22,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,169,29,0,3776.0,0.0,85.0,0.0,3776.0,5.4
23,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,214,0,33,0.0,2735.0,0.0,71.0,-2735.0,9.5
24,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,96,17,0,1111.0,0.0,56.0,0.0,1111.0,1.8
25,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,220,0,31,0.0,3418.0,0.0,71.0,-3418.0,7.4
26,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,231,28,0,4710.0,0.0,88.0,0.0,4710.0,8.1
27,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,192,28,0,5037.0,0.0,92.0,0.0,5037.0,6.7
28,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,172,0,33,0.0,3195.0,0.0,84.0,-3195.0,7.1
29,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,147,34,0,2576.0,0.0,74.0,0.0,2576.0,4.9
