seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,sub2,sub2,1,0,1.0,-1.0,122,20,0,2930.0,0.0,56.0,0.0,2930.0,5.4
1,sub2,sub2,0,0,-1.0,1.0,151,0,24,0.0,2655.0,0.0,84.0,-2655.0,10.6
2,sub2,sub2,0,0,-1.0,1.0,214,0,32,0.0,3104.0,0.0,68.0,-3104.0,23.7
3,sub2,sub2,0,0,-1.0,1.0,112,0,23,0.0,2231.0,0.0,85.0,-2231.0,11.1
4,sub2,sub2,0,0,-1.0,1.0,145,0,24,0.0,1917.0,0.0,56.0,-1917.0,8.7
5,sub2,sub2,0,0,-1.0,1.0,183,0,32,0.0,2697.0,0.0,76.0,-2697.0,26.0
6,sub2,sub2,0,0,-1.0,1.0,125,0,20,0.0,2047.0,0.0,76.0,-2047.0,9.2
7,sub2,sub2,1,0,1.0,-1.0,163,32,0,4837.0,0.0,80.0,0.0,4837.0,13.7
8,sub2,sub2,0,0,-1.0,1.0,213,0,32,0.0,2803.0,0.0,92.0,-2803.0,35.2
9,sub2,sub2,0,0,-1.0,1.0,208,0,28,0.0,4044.0,0.0,84.0,-4044.0,19.2
10,sub2,sub2,1,0,1.0,-1.0,157,33,0,2552.0,0.0,61.0,0.0,2552.0,14.0
11,sub2,sub2,0,0,-1.0,1.0,175,0,32,0.0,3216.0,0.0,80.0,-3216.0,16.2
12,sub2,sub2,1,0,1.0,-1.0,197,36,0,7708.0,0.0,100.0,0.0,7708.0,25.2
13,sub2,sub2,1,0,1.0,-1.0,187,24,0,3637.0,0.0,64.0,0.0,3637.0,11.2
14,sub2,sub2,0,0,-1.0,1.0,172,0,28,0.0,2221.0,0.0,72.0,-2221.0,12.0
15,sub2,sub2,0,0,-1.0,1.0,161,0,36,0.0,2252.0,0.0,60.0,-2252.0,20.3
16,sub2,sub2,1,0,1.0,-1.0,215,24,0,7292.0,0.0,80.0,0.0,7292.0,13.3
17,sub2,sub2,0,0,-1.0,1.0,178,0,20,0.0,1350.0,0.0,42.0,-1350.0,7.8
18,sub2,sub2,1,0,1.0,-1.0,171,28,0,6713.0,0.0,88.0,0.0,6713.0,11.4
19,sub2,sub2,1,0,1.0,-1.0,350,32,0,4789.0,0.0,88.0,0.0,4789.0,60.0
