seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,opp_exposed,opp_exposed,0,0,-1.0,1.0,127,0,20,0.0,2582.0,0.0,80.0,-2582.0,10.0
1,opp_exposed,opp_exposed,0,0,-1.0,1.0,129,0,24,0.0,2341.0,0.0,72.0,-2341.0,10.3
2,opp_exposed,opp_exposed,0,0,-1.0,1.0,161,0,27,0.0,1586.0,0.0,65.0,-1586.0,14.0
3,opp_exposed,opp_exposed,1,0,1.0,-1.0,275,25,0,4408.0,0.0,65.0,0.0,4408.0,23.0
4,opp_exposed,opp_exposed,1,0,1.0,-1.0,170,32,0,4665.0,0.0,84.0,0.0,4665.0,22.1
5,opp_exposed,opp_exposed,0,0,-1.0,1.0,164,0,28,0.0,2590.0,0.0,68.0,-2590.0,14.2
6,opp_exposed,opp_exposed,0,0,-1.0,1.0,124,0,24,0.0,2764.0,0.0,72.0,-2764.0,7.2
7,opp_exposed,opp_exposed,0,0,-1.0,1.0,190,0,24,0.0,3447.0,0.0,80.0,-3447.0,15.3
8,opp_exposed,opp_exposed,0,0,-1.0,1.0,111,0,36,0.0,4158.0,0.0,104.0,-4158.0,13.5
9,opp_exposed,opp_exposed,0,0,-1.0,1.0,103,0,23,0.0,2345.0,0.0,74.0,-2345.0,6.3
10,opp_exposed,opp_exposed,0,0,-1.0,1.0,120,0,24,0.0,3503.0,0.0,104.0,-3503.0,11.4
11,opp_exposed,opp_exposed,0,0,-1.0,1.0,211,0,32,0.0,2798.0,0.0,88.0,-2798.0,31.1
12,opp_exposed,opp_exposed,0,0,-1.0,1.0,195,0,24,0.0,2646.0,0.0,68.0,-2646.0,15.2
13,opp_exposed,opp_exposed,0,0,-1.0,1.0,138,0,32,0.0,3230.0,0.0,72.0,-3230.0,13.3
14,opp_exposed,opp_exposed,1,0,1.0,-1.0,211,32,0,2992.0,0.0,68.0,0.0,2992.0,26.4
15,opp_exposed,opp_exposed,0,0,-1.0,1.0,159,0,28,0.0,3056.0,0.0,64.0,-3056.0,10.7
16,opp_exposed,opp_exposed,0,0,-1.0,1.0,207,0,24,0.0,2796.0,0.0,52.0,-2796.0,13.9
17,opp_exposed,opp_exposed,0,0,-1.0,1.0,147,0,40,0.0,4562.0,0.0,92.0,-4562.0,24.2
18,opp_exposed,opp_exposed,0,0,-1.0,1.0,149,0,28,0.0,3987.0,0.0,84.0,-3987.0,11.4
19,opp_exposed,opp_exposed,0,0,-1.0,1.0,149,0,24,0.0,2489.0,0.0,48.0,-2489.0,7.3
20,opp_exposed,opp_exposed,0,0,-1.0,1.0,159,0,36,0.0,3778.0,0.0,88.0,-3778.0,19.2
21,opp_exposed,opp_exposed,1,0,1.0,-1.0,201,32,0,2950.0,0.0,64.0,0.0,2950.0,21.5
22,opp_exposed,opp_exposed,0,0,-1.0,1.0,90,0,24,0.0,2311.0,0.0,76.0,-2311.0,4.9
23,opp_exposed,opp_exposed,0,0,-1.0,1.0,137,0,32,0.0,4436.0,0.0,96.0,-4436.0,14.1
24,opp_exposed,opp_exposed,0,0,-1.0,1.0,130,0,22,0.0,1943.0,0.0,62.0,-1943.0,8.2
25,opp_exposed,opp_exposed,0,0,-1.0,1.0,119,0,21,0.0,1659.0,0.0,45.0,-1659.0,8.1
26,opp_exposed,opp_exposed,0,0,-1.0,1.0,93,0,27,0.0,2058.0,0.0,92.0,-2058.0,6.0
27,opp_exposed,opp_exposed,0,0,-1.0,1.0,203,0,36,0.0,3069.0,0.0,80.0,-3069.0,25.8
28,opp_exposed,opp_exposed,0,0,-1.0,1.0,153,0,26,0.0,2597.0,0.0,80.0,-2597.0,16.3
29,opp_exposed,opp_exposed,1,0,1.0,-1.0,183,28,0,6027.0,0.0,108.0,0.0,6027.0,16.8
