seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,sub2,sub2,1,0,1.0,-1.0,201,24,0,3309.0,0.0,72.0,0.0,3309.0,16.7
1,sub2,sub2,0,0,-1.0,1.0,114,0,21,0.0,1263.0,0.0,58.0,-1263.0,6.7
2,sub2,sub2,0,0,-1.0,1.0,124,0,32,0.0,3021.0,0.0,92.0,-3021.0,12.7
3,sub2,sub2,0,0,-1.0,1.0,165,0,40,0.0,3336.0,0.0,92.0,-3336.0,23.5
4,sub2,sub2,0,0,-1.0,1.0,115,0,19,0.0,1569.0,0.0,55.0,-1569.0,5.6
5,sub2,sub2,0,0,-1.0,1.0,244,0,28,0.0,3048.0,0.0,64.0,-3048.0,17.4
6,sub2,sub2,1,0,1.0,-1.0,189,20,0,2118.0,0.0,60.0,0.0,2118.0,12.2
7,sub2,sub2,0,0,-1.0,1.0,152,0,28,0.0,3278.0,0.0,88.0,-3278.0,12.8
8,sub2,sub2,1,0,1.0,-1.0,161,20,0,4532.0,0.0,76.0,0.0,4532.0,10.0
9,sub2,sub2,0,0,-1.0,1.0,153,0,24,0.0,3697.0,0.0,72.0,-3697.0,12.2
10,sub2,sub2,0,0,-1.0,1.0,106,0,20,0.0,1517.0,0.0,60.0,-1517.0,11.3
11,sub2,sub2,0,0,-1.0,1.0,158,0,28,0.0,4431.0,0.0,100.0,-4431.0,16.9
12,sub2,sub2,1,0,1.0,-1.0,189,32,0,4375.0,0.0,88.0,0.0,4375.0,24.7
13,sub2,sub2,1,0,1.0,-1.0,124,31,0,3062.0,0.0,75.0,0.0,3062.0,6.6
14,sub2,sub2,0,0,-1.0,1.0,127,0,28,0.0,2033.0,0.0,72.0,-2033.0,14.3
15,sub2,sub2,0,0,-1.0,1.0,137,0,24,0.0,3476.0,0.0,92.0,-3476.0,11.1
16,sub2,sub2,0,0,-1.0,1.0,215,0,28,0.0,3902.0,0.0,96.0,-3902.0,25.8
17,sub2,sub2,0,0,-1.0,1.0,186,0,32,0.0,2414.0,0.0,80.0,-2414.0,18.6
18,sub2,sub2,1,0,1.0,-1.0,195,24,0,4388.0,0.0,80.0,0.0,4388.0,11.8
19,sub2,sub2,0,0,-1.0,1.0,154,0,31,0.0,3227.0,0.0,75.0,-3227.0,16.8
