seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,235,32,0,3967.0,0.0,100.0,0.0,3967.0,8.9
1,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,312,0,24,0.0,2426.0,0.0,64.0,-2426.0,7.8
2,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,181,0,38,0.0,4447.0,0.0,94.0,-4447.0,8.1
3,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,239,0,27,0.0,4291.0,0.0,67.0,-4291.0,6.7
4,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,178,30,0,2425.0,0.0,86.0,0.0,2425.0,6.2
5,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,167,0,27,0.0,5814.0,0.0,75.0,-5814.0,4.5
6,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,154,33,0,2919.0,0.0,77.0,0.0,2919.0,4.8
7,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,148,0,27,0.0,2765.0,0.0,87.0,-2765.0,3.8
8,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,219,0,24,0.0,3167.0,0.0,70.0,-3167.0,5.3
9,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,187,21,0,1746.0,0.0,54.0,0.0,1746.0,3.7
10,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,74,24,0,1009.0,0.0,67.0,0.0,1009.0,1.9
11,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,225,24,0,2378.0,0.0,52.0,0.0,2378.0,5.9
12,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,159,0,31,0.0,6058.0,0.0,101.0,-6058.0,6.2
13,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,178,34,0,2332.0,0.0,70.0,0.0,2332.0,7.3
14,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,190,0,24,0.0,3752.0,0.0,84.0,-3752.0,4.7
15,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,134,0,27,0.0,1929.0,0.0,75.0,-1929.0,3.9
16,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,153,39,0,3167.0,0.0,102.0,0.0,3167.0,7.1
17,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,185,0,31,0.0,2164.0,0.0,59.0,-2164.0,6.1
18,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,148,32,0,2304.0,0.0,76.0,0.0,2304.0,4.3
19,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,197,28,0,4439.0,0.0,76.0,0.0,4439.0,5.9
20,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,145,20,0,1418.0,0.0,64.0,0.0,1418.0,2.6
21,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,148,24,0,2624.0,0.0,72.0,0.0,2624.0,3.7
22,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,91,0,13,0.0,1594.0,0.0,54.0,-1594.0,1.3
23,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,159,0,20,0.0,2908.0,0.0,64.0,-2908.0,2.7
24,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,207,36,0,4547.0,0.0,84.0,0.0,4547.0,10.0
25,opp_heuristic,opp_heuristic,0,0,-1.0,1.0,227,0,32,0.0,4207.0,0.0,92.0,-4207.0,8.6
26,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,240,28,0,2650.0,0.0,64.0,0.0,2650.0,6.3
27,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,285,28,0,3919.0,0.0,68.0,0.0,3919.0,9.6
28,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,189,35,0,2970.0,0.0,83.0,0.0,2970.0,8.7
29,opp_heuristic,opp_heuristic,1,0,1.0,-1.0,171,37,0,4197.0,0.0,101.0,0.0,4197.0,9.3
