seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,sub2,sub2,1,0,1.0,-1.0,169,29,0,4592.0,0.0,81.0,0.0,4592.0,18.2
1,sub2,sub2,0,0,-1.0,1.0,141,0,28,0.0,2582.0,0.0,92.0,-2582.0,12.7
2,sub2,sub2,0,0,-1.0,1.0,221,0,28,0.0,2049.0,0.0,52.0,-2049.0,18.9
3,sub2,sub2,1,0,1.0,-1.0,197,20,0,4095.0,0.0,76.0,0.0,4095.0,15.3
4,sub2,sub2,0,0,-1.0,1.0,220,0,24,0.0,2259.0,0.0,68.0,-2259.0,16.7
5,sub2,sub2,1,0,1.0,-1.0,187,32,0,3299.0,0.0,76.0,0.0,3299.0,25.5
6,sub2,sub2,0,0,-1.0,1.0,188,0,28,0.0,1809.0,0.0,48.0,-1809.0,17.8
7,sub2,sub2,1,0,1.0,-1.0,183,32,0,3663.0,0.0,68.0,0.0,3663.0,24.4
8,sub2,sub2,1,0,1.0,-1.0,158,32,0,3153.0,0.0,60.0,0.0,3153.0,12.7
9,sub2,sub2,0,0,-1.0,1.0,162,0,36,0.0,3991.0,0.0,104.0,-3991.0,21.2
10,sub2,sub2,1,0,1.0,-1.0,155,36,0,7318.0,0.0,104.0,0.0,7318.0,15.6
11,sub2,sub2,1,0,1.0,-1.0,253,24,0,3614.0,0.0,52.0,0.0,3614.0,27.8
12,sub2,sub2,0,0,-1.0,1.0,157,0,34,0.0,1796.0,0.0,84.0,-1796.0,18.3
13,sub2,sub2,0,0,-1.0,1.0,253,0,23,0.0,2562.0,0.0,39.0,-2562.0,14.0
14,sub2,sub2,0,0,-1.0,1.0,145,0,28,0.0,2634.0,0.0,92.0,-2634.0,14.7
15,sub2,sub2,0,0,-1.0,1.0,167,0,26,0.0,1409.0,0.0,68.0,-1409.0,6.9
16,sub2,sub2,0,0,-1.0,1.0,169,0,28,0.0,1673.0,0.0,56.0,-1673.0,14.7
17,sub2,sub2,0,0,-1.0,1.0,116,0,22,0.0,1386.0,0.0,54.0,-1386.0,9.6
18,sub2,sub2,0,0,-1.0,1.0,121,0,27,0.0,1351.0,0.0,49.0,-1351.0,11.5
19,sub2,sub2,0,0,-1.0,1.0,143,0,28,0.0,3467.0,0.0,84.0,-3467.0,13.0
