seed,label,opp,win,draw,r0,r1,steps,n0_final,n1_final,ships0_final,ships1_final,prod0_final,prod1_final,ships_diff,time_sec
0,opp_exposed,opp_exposed,0,0,-1.0,1.0,172,0,28,0.0,2522.0,0.0,72.0,-2522.0,12.8
1,opp_exposed,opp_exposed,1,0,1.0,-1.0,205,24,0,5134.0,0.0,68.0,0.0,5134.0,14.4
2,opp_exposed,opp_exposed,0,0,-1.0,1.0,200,0,28,0.0,3060.0,0.0,76.0,-3060.0,24.1
3,opp_exposed,opp_exposed,1,0,1.0,-1.0,172,39,0,5749.0,0.0,95.0,0.0,5749.0,26.8
4,opp_exposed,opp_exposed,1,0,1.0,-1.0,281,26,0,4675.0,0.0,78.0,0.0,4675.0,23.7
5,opp_exposed,opp_exposed,1,0,1.0,-1.0,203,24,0,4479.0,0.0,72.0,0.0,4479.0,16.1
6,opp_exposed,opp_exposed,1,0,1.0,-1.0,191,24,0,3614.0,0.0,60.0,0.0,3614.0,12.0
7,opp_exposed,opp_exposed,1,0,1.0,-1.0,156,32,0,4269.0,0.0,88.0,0.0,4269.0,22.9
8,opp_exposed,opp_exposed,1,0,1.0,-1.0,234,32,0,5767.0,0.0,80.0,0.0,5767.0,23.8
9,opp_exposed,opp_exposed,0,0,-1.0,1.0,205,0,32,0.0,4266.0,0.0,92.0,-4266.0,26.7
10,opp_exposed,opp_exposed,0,0,-1.0,1.0,148,0,32,0.0,2463.0,0.0,72.0,-2463.0,22.0
11,opp_exposed,opp_exposed,0,0,-1.0,1.0,177,0,36,0.0,3255.0,0.0,76.0,-3255.0,18.3
12,opp_exposed,opp_exposed,1,0,1.0,-1.0,188,28,0,3874.0,0.0,80.0,0.0,3874.0,16.2
13,opp_exposed,opp_exposed,0,0,-1.0,1.0,192,0,36,0.0,2517.0,0.0,64.0,-2517.0,21.6
14,opp_exposed,opp_exposed,1,0,1.0,-1.0,152,35,0,3435.0,0.0,65.0,0.0,3435.0,15.0
15,opp_exposed,opp_exposed,0,0,-1.0,1.0,177,0,40,0.0,3346.0,0.0,92.0,-3346.0,29.6
16,opp_exposed,opp_exposed,1,0,1.0,-1.0,166,38,0,3431.0,0.0,62.0,0.0,3431.0,12.3
17,opp_exposed,opp_exposed,0,0,-1.0,1.0,185,0,32,0.0,3445.0,0.0,84.0,-3445.0,25.4
18,opp_exposed,opp_exposed,1,0,1.0,-1.0,210,24,0,2081.0,0.0,48.0,0.0,2081.0,12.5
19,opp_exposed,opp_exposed,0,0,-1.0,1.0,191,0,36,0.0,3232.0,0.0,72.0,-3232.0,29.3
20,opp_exposed,opp_exposed,1,0,1.0,-1.0,157,33,0,4443.0,0.0,65.0,0.0,4443.0,11.5
21,opp_exposed,opp_exposed,1,0,1.0,-1.0,233,24,0,3086.0,0.0,44.0,0.0,3086.0,15.7
22,opp_exposed,opp_exposed,1,0,1.0,-1.0,186,28,0,7789.0,0.0,88.0,0.0,7789.0,18.9
23,opp_exposed,opp_exposed,1,0,1.0,-1.0,204,24,0,2723.0,0.0,52.0,0.0,2723.0,14.5
24,opp_exposed,opp_exposed,0,0,-1.0,1.0,226,0,28,0.0,4012.0,0.0,80.0,-4012.0,28.1
25,opp_exposed,opp_exposed,1,0,1.0,-1.0,230,28,0,2152.0,0.0,64.0,0.0,2152.0,27.5
26,opp_exposed,opp_exposed,1,0,1.0,-1.0,124,28,0,5113.0,0.0,84.0,0.0,5113.0,7.4
27,opp_exposed,opp_exposed,1,0,1.0,-1.0,142,36,0,4545.0,0.0,88.0,0.0,4545.0,10.9
28,opp_exposed,opp_exposed,0,0,-1.0,1.0,165,0,32,0.0,3111.0,0.0,56.0,-3111.0,12.5
29,opp_exposed,opp_exposed,1,0,1.0,-1.0,189,36,0,5754.0,0.0,84.0,0.0,5754.0,26.6
