number,value,datetime_start,datetime_complete,duration,params_ours_area_inv,params_ours_late_aggression,params_ours_mean_dist_all,params_ours_n_cross,params_ours_prod,params_ours_ships,params_ours_wnn_close_res,params_tgt_area_inv,params_tgt_late_aggression,params_tgt_mean_dist_all,params_tgt_n_cross,params_tgt_prod,params_tgt_ships,params_tgt_wnn_close_res,user_attrs_mean_rank,user_attrs_median_rank,user_attrs_top1,user_attrs_top10,user_attrs_top3,user_attrs_top5,user_attrs_total_attack,user_attrs_total_reinforce,state
0,0.2653061224489796,2026-05-20 21:51:56.773725,2026-05-20 21:51:58.554862,0 days 00:00:01.781137,-0.3763796434579125,-1.3257491634954017,0.6959818254342153,-1.0320164389913922,0.2959754525911098,-1.0319440786726903,1.3521429192297485,1.0985284373248057,-0.8629826679651715,0.6242177333881365,0.9973279224012652,-1.4382465171125927,1.409729556485983,0.3033450352296264,8.938775510204081,7.0,0.09183673469387756,0.6836734693877551,0.2653061224489796,0.37755102040816324,98,92,COMPLETE
1,0.1836734693877551,2026-05-20 21:51:58.555049,2026-05-20 21:52:00.329166,0 days 00:00:01.774117,-0.9545250983786981,0.3355586841671384,-0.5872732711213868,-0.6263125794058743,0.07426929489671352,-0.2041649440736527,-0.9497864704396985,-1.0815184180438746,0.042703315240834816,-0.4009144701189249,-0.9009786535249208,-0.13179004734889221,0.8555278841790408,-0.6235660543943455,11.36734693877551,9.0,0.07142857142857142,0.5408163265306123,0.1836734693877551,0.2857142857142857,98,92,COMPLETE
2,0.1326530612244898,2026-05-20 21:52:00.329325,2026-05-20 21:52:02.074108,0 days 00:00:01.744783,0.2772437065861274,1.396896099223678,0.3226345557043151,1.3466566117599998,-0.9884276289381254,-1.3048452210441615,-1.360648761840007,0.9251920443493834,-0.014469269666189444,-1.2069836579808484,-1.1338852954656635,0.5526990795364707,-0.1795425187811961,-0.5861586924798879,11.846938775510203,11.0,0.05102040816326531,0.45918367346938777,0.1326530612244898,0.19387755102040816,98,92,COMPLETE
3,0.2653061224489796,2026-05-20 21:52:02.074281,2026-05-20 21:52:03.817789,0 days 00:00:01.743508,-1.3968344366543448,0.14013083802983894,-0.7236600551999492,0.06020406353343244,0.4875668530619459,-0.5648667717317671,1.2279612062363463,-0.9454366334234189,1.2656227050693505,0.8253984700833437,0.2936999364332554,1.3184968246925672,1.1844820512829464,1.4087538832936757,8.357142857142858,6.0,0.12244897959183673,0.6530612244897959,0.2653061224489796,0.45918367346938777,98,92,COMPLETE
4,0.22448979591836735,2026-05-20 21:52:03.817949,2026-05-20 21:52:05.560102,0 days 00:00:01.742153,-1.2345224938442416,0.986212527455788,-1.3643181332683858,-0.6859529046783123,-0.524009007710207,-0.333968130931554,-0.9120514127425644,-0.42974001991923216,1.4606608098015519,0.1280882494747454,-1.2763480689606874,-1.077227325075712,0.906590942262119,-0.6571964709378577,11.020408163265307,9.0,0.061224489795918366,0.5714285714285714,0.22448979591836735,0.3469387755102041,98,92,COMPLETE
5,0.1836734693877551,2026-05-20 21:52:05.560257,2026-05-20 21:52:07.295886,0 days 00:00:01.735629,0.8167343078899723,0.8138110400578372,-1.4834336486291928,0.6870215041229619,0.9463842853645025,0.6205720315428513,-0.9038529553974828,-1.277866044797729,-1.3093249491419292,-1.1523928214246109,-0.5073059254420524,1.0893102776267805,0.36989438048267376,-0.42460281436718217,10.76530612244898,9.5,0.07142857142857142,0.5408163265306123,0.1836734693877551,0.29591836734693877,98,92,COMPLETE
6,0.3163265306122449,2026-05-20 21:52:07.296035,2026-05-20 21:52:09.028329,0 days 00:00:01.732294,-0.5670530348530134,-1.141217262185095,0.6888185350141922,-0.08335522451415212,0.41267241406563937,1.1616382277289796,-0.5244500339197589,0.639734361668985,-0.2173769449243511,0.1838315927084887,0.06819848814598217,0.812901539863683,-0.01861321090682777,0.7823551458506923,8.244897959183673,7.0,0.14285714285714285,0.6836734693877551,0.3163265306122449,0.4489795918367347,98,92,COMPLETE
7,0.23469387755102042,2026-05-20 21:52:09.028488,2026-05-20 21:52:10.770585,0 days 00:00:01.742097,-1.4237426197677143,1.222699421778279,-1.4057124429397971,0.025712073494108312,0.4092312337913412,-0.55693205677102,-1.1763257190200866,-0.7521233125533752,-1.0163361382379867,0.766653415629146,-0.6307456412586959,-0.8136055035251326,-1.269060270513621,-0.2688512308931108,9.806122448979592,8.0,0.10204081632653061,0.6122448979591837,0.23469387755102042,0.3469387755102041,98,92,COMPLETE
8,0.23469387755102042,2026-05-20 21:52:10.770741,2026-05-20 21:52:12.511088,0 days 00:00:01.740347,1.2890929570277192,1.1776769954699333,0.4002112695312704,-0.9402898233418925,1.1143817705631531,0.9110162306973434,0.9243611386932509,0.11802672574695217,-0.21867663412123106,1.1882738997704796,-0.816194512374175,-0.5459895750844084,-1.1698442264169697,0.9223204654921876,8.744897959183673,7.0,0.061224489795918366,0.673469387755102,0.23469387755102042,0.3877551020408163,98,92,COMPLETE
9,0.22448979591836735,2026-05-20 21:52:12.511233,2026-05-20 21:52:14.248706,0 days 00:00:01.737473,0.9540442977674793,-1.1404038979989517,-1.479143608406428,-0.8336765685878093,0.032241907732697195,-0.24776699055366302,1.0821917497690303,-0.48715448578911613,1.415346248162882,-0.5303912039377343,-0.40911119286211806,0.056371865230098295,0.6090568766855335,1.3287291117375575,9.795918367346939,9.5,0.07142857142857142,0.5612244897959183,0.22448979591836735,0.35714285714285715,98,92,COMPLETE
10,0.1836734693877551,2026-05-20 21:52:14.248880,2026-05-20 21:52:15.987778,0 days 00:00:01.738898,1.3873418848263337,0.32869300193969053,-0.008254482322843648,-1.3893391579364016,-0.597365070549691,-0.6454785168675972,-0.7446531125239075,0.008037069686584464,-0.031641719167310955,-0.6640606072901657,-1.0653153837263307,1.224797657899961,-0.7813143279990827,-1.3455637462500318,10.948979591836734,10.0,0.061224489795918366,0.5102040816326531,0.1836734693877551,0.25510204081632654,98,92,COMPLETE
11,0.11224489795918367,2026-05-20 21:52:15.987929,2026-05-20 21:52:17.722981,0 days 00:00:01.735052,1.456951362331802,-0.3966506018422403,0.5164066422176357,0.6846490458355787,0.7848588459861527,-0.787087368022801,-0.7738341854654988,0.39691749178073843,-0.9404444688004373,0.10732405222427543,-0.5376598050847925,-1.229130689836775,1.0059074867677138,0.4005891322826841,10.53061224489796,9.0,0.030612244897959183,0.5918367346938775,0.11224489795918367,0.2653061224489796,98,92,COMPLETE
12,0.2653061224489796,2026-05-20 21:52:17.723131,2026-05-20 21:52:19.460161,0 days 00:00:01.737030,-1.3776745753357083,0.4355183712283496,0.5326930855268472,-0.8205126744061861,-1.4502365132164314,0.036279174897842936,0.27267882956472544,-0.9769007129850257,-1.1595794362782328,-0.3397939610983878,-0.47680094684922447,1.3101899662102037,-1.0874371675620202,0.5728132143073978,9.63265306122449,8.5,0.08163265306122448,0.6122448979591837,0.2653061224489796,0.336734693877551,98,92,COMPLETE
13,0.24489795918367346,2026-05-20 21:52:19.460304,2026-05-20 21:52:21.204619,0 days 00:00:01.744315,1.2740808548356883,0.08895173506801946,-0.7261751168545332,0.165602434798387,0.4799521381025371,0.9516666006036475,1.132018060142943,-0.774443127298645,-0.45237127616201733,1.1916472738599801,-0.48291062685389796,1.2012541714899914,0.3993043718198038,-1.2206916965823025,9.63265306122449,9.0,0.12244897959183673,0.5816326530612245,0.24489795918367346,0.32653061224489793,98,92,COMPLETE
14,0.14285714285714285,2026-05-20 21:52:21.204772,2026-05-20 21:52:22.967090,0 days 00:00:01.762318,0.6778670366107181,-1.0151138577161587,1.161259272795352,-1.2475801050148534,0.8396266375728716,0.4260949384628633,1.1913307798577313,1.1956625655812378,-1.017575845747504,-1.472408845150111,-1.484815248461344,-1.1955853714019038,0.4905053073241674,0.3192871789787698,11.510204081632653,9.5,0.030612244897959183,0.5306122448979592,0.14285714285714285,0.25510204081632654,98,92,COMPLETE
15,0.2755102040816326,2026-05-20 21:52:22.967246,2026-05-20 21:52:24.704772,0 days 00:00:01.737526,0.14620136809975837,-0.5238009055221968,0.4558837785078016,-0.7882527375095998,-0.8271920716183206,0.6365376640426076,0.5756855930780798,0.7394742153540724,-0.39685259082169944,1.0476702314825337,-1.2189756965157226,0.4728386769010301,0.20492581000641485,0.448898697141644,8.86734693877551,8.0,0.09183673469387756,0.6326530612244898,0.2755102040816326,0.40816326530612246,98,92,COMPLETE
