n_planets,n_planet_diffs,pct_planets_match,n_pred_fleets,n_real_fleets,fleet_count_match,n_extra_pred_fleets,n_missing_pred_fleets,n_total_launches,n_active_players,episode_id,step,n_players,phase
32,0,1.0,18,18,True,0,0,5,4,75822068,33,4,0.1701
32,0,1.0,43,43,True,0,0,7,3,75822068,100,4,0.5155
36,0,1.0,36,36,True,0,0,5,2,75823093,113,2,0.5979
36,0,1.0,34,34,True,0,0,5,2,75825491,65,2,0.4887
32,0,1.0,25,25,True,0,0,3,2,75825491,82,2,0.6165
32,0,1.0,16,16,True,0,0,2,1,75827649,216,4,0.6606
36,0,1.0,10,10,True,0,0,1,1,75827649,59,4,0.1804
28,0,1.0,20,20,True,0,0,3,2,75828924,104,2,0.8254
32,0,1.0,13,13,True,0,0,4,2,75829171,169,4,0.7253
28,0,1.0,12,12,True,0,0,3,2,75829171,87,4,0.3734
32,0,1.0,34,34,True,0,0,2,1,75835292,106,2,0.7571
32,0,1.0,15,15,True,0,0,3,2,75836803,131,2,0.2625
32,0,1.0,14,14,True,0,0,2,2,75836803,120,2,0.2405
32,0,1.0,15,15,True,0,0,2,2,75836803,402,2,0.8056
36,0,1.0,11,11,True,0,0,1,1,75836803,452,2,0.9058
28,0,1.0,27,27,True,0,0,3,2,75837587,113,2,0.5795
28,0,1.0,28,28,True,0,0,9,2,75838010,158,4,0.5563
36,0,1.0,23,23,True,0,0,5,3,75843963,147,4,0.4579
36,0,1.0,29,29,True,0,0,2,1,75843963,289,4,0.9003
28,0,1.0,62,62,True,0,0,7,2,75845040,79,2,0.622
36,0,1.0,21,21,True,0,0,4,1,75845704,130,4,0.8609
36,0,1.0,0,0,True,0,0,2,1,75847145,325,4,0.6513
36,0,1.0,0,0,True,0,0,3,1,75847145,186,4,0.3727
28,0,1.0,7,7,True,0,0,1,1,75848499,132,2,0.9231
28,0,1.0,30,30,True,0,0,2,1,75851051,131,2,0.6359
36,0,1.0,20,20,True,0,0,0,0,75851849,69,2,0.7841
28,0,1.0,34,34,True,0,0,2,2,75852143,114,2,0.3918
28,0,1.0,92,92,True,0,0,15,2,75853717,201,4,0.6612
28,0,1.0,102,102,True,0,0,15,2,75853717,203,4,0.6678
28,0,1.0,73,73,True,0,0,10,2,75853717,196,4,0.6447
28,0,1.0,35,35,True,0,0,5,3,75853717,41,4,0.1349
32,0,1.0,25,25,True,0,0,6,2,75854043,71,2,0.3515
24,0,1.0,20,20,True,0,0,4,2,75854436,177,4,0.9516
28,0,1.0,27,27,True,0,0,4,2,75854976,88,2,0.5535
36,0,1.0,10,10,True,0,0,2,1,75858039,150,2,0.8475
24,0,1.0,13,13,True,0,0,4,2,75862353,40,4,0.1465
28,0,1.0,16,16,True,0,0,3,2,75862477,103,2,0.5124
32,0,1.0,29,29,True,0,0,3,3,75863121,115,4,0.561
36,0,1.0,22,22,True,0,0,2,1,75866275,83,2,0.3609
36,0,1.0,12,12,True,0,0,1,1,75866275,127,2,0.5522
36,0,1.0,17,17,True,0,0,4,2,75880085,159,2,0.7395
36,0,1.0,14,14,True,0,0,2,1,75880085,61,2,0.2837
28,0,1.0,10,10,True,0,0,3,3,75882192,80,4,0.6202
28,0,1.0,32,32,True,0,0,7,2,75890977,181,2,0.683
32,0,1.0,6,6,True,0,0,0,0,75890977,260,2,0.9811
24,0,1.0,13,13,True,0,0,2,1,75890978,137,2,0.7405
28,0,1.0,17,17,True,0,0,2,1,75891081,72,2,0.6261
32,0,1.0,3,3,True,0,0,2,1,75895003,301,4,0.6032
40,0,1.0,9,9,True,0,0,1,1,75896280,68,2,0.4072
24,0,1.0,33,33,True,0,0,5,1,75896918,85,2,0.4293
32,0,1.0,77,77,True,0,0,12,1,75898624,106,2,0.848
32,0,1.0,2,2,True,0,0,1,1,75898624,1,2,0.008
20,0,1.0,9,9,True,0,0,2,2,75899584,33,4,0.1467
36,0,1.0,20,20,True,0,0,5,2,75899927,100,2,0.2004
36,0,1.0,26,26,True,0,0,3,2,75900177,62,2,0.31
32,0,1.0,19,19,True,0,0,2,2,75904310,234,4,0.6903
32,0,1.0,21,21,True,0,0,2,2,75904310,230,4,0.6785
20,0,1.0,28,28,True,0,0,5,3,75905571,89,4,0.6642
32,0,1.0,256,256,True,0,0,10,1,75908481,156,4,0.8619
24,0,1.0,56,56,True,0,0,7,1,75908621,184,2,0.934
36,0,1.0,33,33,True,0,0,4,1,75909283,178,2,0.6496
36,0,1.0,37,37,True,0,0,5,3,75909571,120,4,0.2405
20,0,1.0,17,17,True,0,0,2,2,75910069,99,4,0.839
24,0,1.0,5,5,True,0,0,1,1,75910097,9,4,0.0577
28,0,1.0,7,7,True,0,0,1,1,75910559,16,2,0.1088
28,0,1.0,17,17,True,0,0,4,3,75911542,129,4,0.3413
24,0,1.0,18,18,True,0,0,3,1,75911938,102,2,0.5829
24,0,1.0,13,13,True,0,0,2,1,75914931,442,2,0.8858
28,0,1.0,21,21,True,0,0,1,1,75915235,82,2,0.5578
32,1,0.9688,24,25,False,0,1,6,3,75920471,207,4,0.4148
24,0,1.0,14,14,True,0,0,0,0,75921008,35,4,0.2288
40,0,1.0,19,19,True,0,0,5,2,75921657,67,2,0.6442
32,0,1.0,27,27,True,0,0,3,3,75921861,196,4,0.3928
32,0,1.0,31,31,True,0,0,4,2,75923421,226,4,0.8828
32,1,0.9688,22,23,False,0,1,0,0,75923998,77,4,0.4375
28,2,0.9286,74,76,False,0,2,5,1,75924157,166,4,0.9222
24,2,0.9167,7,9,False,0,2,1,1,75924167,27,4,0.1543
32,1,0.9688,24,25,False,0,1,2,2,75925168,68,4,0.4
24,0,1.0,23,23,True,0,0,1,1,75927245,95,4,0.4043
28,0,1.0,15,15,True,0,0,1,1,75927245,156,4,0.6638
28,0,1.0,58,58,True,0,0,7,2,75927875,124,2,0.62
44,0,1.0,24,24,True,0,0,1,1,75928348,79,4,0.2524
44,0,1.0,12,12,True,0,0,0,0,75928348,164,4,0.524
36,1,0.9722,34,33,False,1,0,3,1,75934343,288,4,0.8597
24,2,0.9167,103,101,False,2,0,7,1,75935643,178,4,0.6096
32,1,0.9688,34,35,False,0,1,2,1,75937328,121,4,0.7857
36,0,1.0,51,51,True,0,0,3,2,75937738,84,2,0.4138
40,0,1.0,47,47,True,0,0,8,2,75937738,157,2,0.7734
36,0,1.0,50,50,True,0,0,7,2,75937738,98,2,0.4828
32,0,1.0,61,61,True,0,0,10,2,75938189,103,2,0.741
32,1,0.9688,54,55,False,0,1,5,1,75938189,133,2,0.9568
32,0,1.0,67,67,True,0,0,8,2,75938189,105,2,0.7554
36,0,1.0,333,333,True,0,0,22,1,75939046,137,2,0.9448
24,1,0.9583,24,25,False,0,1,5,3,75947221,105,4,0.3097
28,2,0.9286,25,27,False,0,2,1,1,75947221,253,4,0.7463
36,2,0.9444,28,30,False,0,2,3,2,75951597,128,4,0.2565
24,0,1.0,17,17,True,0,0,2,2,75952877,201,4,0.6204
20,0,1.0,22,22,True,0,0,4,2,75953448,203,4,0.6527
32,0,1.0,29,29,True,0,0,3,2,75953848,80,4,0.4494
32,0,1.0,32,32,True,0,0,8,2,75953848,103,4,0.5787
32,3,0.9062,265,268,False,0,3,16,1,75955828,191,4,0.9502
32,1,0.9688,39,40,False,0,1,4,2,75955828,111,4,0.5522
32,1,0.9688,234,233,False,1,0,22,1,75955828,185,4,0.9204
24,1,0.9583,23,24,False,0,1,4,3,75957597,84,4,0.4565
24,0,1.0,15,15,True,0,0,1,1,75958272,27,4,0.1195
28,0,1.0,32,32,True,0,0,7,2,75959127,84,2,0.2772
32,1,0.9688,199,200,False,0,1,29,1,75959429,163,4,0.9532
28,0,1.0,22,22,True,0,0,0,0,75959429,123,4,0.7193
32,1,0.9688,126,127,False,0,1,28,2,75959429,157,4,0.9181
32,1,0.9688,250,251,False,0,1,29,1,75959429,170,4,0.9942
28,0,1.0,11,11,True,0,0,3,2,75959429,36,4,0.2105
32,0,1.0,13,13,True,0,0,1,1,75959429,71,4,0.4152
32,1,0.9688,250,251,False,0,1,29,1,75959429,170,4,0.9942
32,3,0.9062,132,128,False,4,0,29,1,75963839,159,4,0.9815
28,1,0.9643,17,18,False,0,1,8,2,75963839,133,4,0.821
32,1,0.9688,24,25,False,0,1,2,2,75964397,86,4,0.3173
36,0,1.0,24,24,True,0,0,2,2,75964594,75,4,0.2896
36,0,1.0,31,31,True,0,0,2,1,75964594,68,4,0.2625
20,0,1.0,35,35,True,0,0,3,1,75964932,121,2,0.6836
24,0,1.0,19,19,True,0,0,1,1,75964932,169,2,0.9548
32,0,1.0,19,19,True,0,0,3,2,75967247,138,4,0.6935
36,0,1.0,4,4,True,0,0,1,1,75970255,27,2,0.1812
24,0,1.0,17,17,True,0,0,1,1,75970330,46,2,0.2949
40,0,1.0,24,24,True,0,0,4,1,75970563,242,4,0.8643
40,0,1.0,56,56,True,0,0,13,2,75970563,108,4,0.3857
44,0,1.0,227,227,True,0,0,37,1,75970563,267,4,0.9536
28,2,0.9286,34,36,False,0,2,7,2,75972657,84,2,0.5526
28,0,1.0,15,15,True,0,0,2,1,75972841,83,2,0.5497
32,1,0.9688,20,21,False,0,1,4,1,75972841,69,2,0.457
32,1,0.9688,23,22,False,1,0,5,1,75974716,156,4,0.6023
28,1,0.9643,31,30,False,1,0,3,1,75974716,217,4,0.8378
28,3,0.8929,29,32,False,0,3,5,2,75976337,179,2,0.8211
24,0,1.0,40,40,True,0,0,6,2,75976337,113,2,0.5183
20,0,1.0,9,9,True,0,0,1,1,75991087,113,4,0.4414
24,0,1.0,32,32,True,0,0,4,1,75991087,164,4,0.6406
32,0,1.0,8,8,True,0,0,0,0,75995072,20,4,0.1439
36,0,1.0,34,34,True,0,0,6,2,75995342,93,2,0.4366
32,0,1.0,16,16,True,0,0,2,2,75995655,51,4,0.2898
20,0,1.0,28,28,True,0,0,2,1,75997519,186,4,0.753
32,2,0.9375,109,111,False,0,2,13,2,75998641,469,4,0.9399
32,1,0.9688,46,45,False,1,0,6,2,76003630,67,4,0.3873
32,0,1.0,41,41,True,0,0,3,2,76004820,100,4,0.4808
32,0,1.0,33,33,True,0,0,5,3,76004820,122,4,0.5865
28,2,0.9286,34,36,False,0,2,2,2,76022872,113,2,0.6075
24,0,1.0,16,16,True,0,0,3,2,76032198,84,4,0.5385
28,0,1.0,13,13,True,0,0,3,3,76032198,80,4,0.5128
32,1,0.9688,252,251,False,1,0,21,1,76032608,67,2,0.7882
28,0,1.0,30,30,True,0,0,4,2,76041054,90,4,0.2903
32,0,1.0,43,43,True,0,0,7,2,76041054,255,4,0.8226
28,0,1.0,37,37,True,0,0,8,2,76041054,291,4,0.9387
28,1,0.9643,22,23,False,0,1,5,2,76042700,116,2,0.8169
28,1,0.9643,37,38,False,0,1,5,2,76045205,81,2,0.3951
28,1,0.9643,49,50,False,0,1,6,2,76045205,119,2,0.5805
36,1,0.9722,38,39,False,0,1,6,1,76056672,271,4,0.7699
28,2,0.9286,15,17,False,0,2,4,2,76057451,349,2,0.762
32,1,0.9688,109,110,False,0,1,10,2,76057451,264,2,0.5764
28,0,1.0,19,19,True,0,0,2,2,76057451,124,2,0.2707
36,3,0.9167,88,91,False,0,3,14,2,76057722,123,2,0.6244
32,1,0.9688,18,19,False,0,1,5,2,76059391,68,4,0.6182
40,0,1.0,16,16,True,0,0,4,3,76063562,56,4,0.2523
32,0,1.0,18,18,True,0,0,3,1,76063621,152,4,0.3046
20,0,1.0,10,10,True,0,0,0,0,76064593,41,2,0.3254
36,1,0.9722,32,33,False,0,1,4,2,76066636,91,4,0.325
40,0,1.0,9,9,True,0,0,4,1,76066636,253,4,0.9036
40,0,1.0,24,24,True,0,0,4,2,76066636,51,4,0.1821
28,0,1.0,24,24,True,0,0,4,1,76067195,91,4,0.2535
24,0,1.0,47,47,True,0,0,6,1,76071073,120,2,0.9524
24,0,1.0,31,31,True,0,0,4,2,76089271,117,2,0.7905
28,0,1.0,19,19,True,0,0,4,2,76089271,72,2,0.4865
36,0,1.0,39,39,True,0,0,6,2,76093064,57,2,0.4222
32,1,0.9688,21,22,False,0,1,5,2,76093236,27,4,0.1239
36,0,1.0,22,22,True,0,0,4,1,76096057,148,4,0.7749
28,0,1.0,39,39,True,0,0,6,2,76110823,58,4,0.1162
28,0,1.0,25,25,True,0,0,1,1,76110823,158,4,0.3166
24,0,1.0,1,1,True,0,0,0,0,76121210,351,4,0.7034
28,0,1.0,17,17,True,0,0,1,1,76126715,140,4,0.7735
20,0,1.0,6,6,True,0,0,1,1,76126987,126,2,0.8514
28,1,0.9643,27,28,False,0,1,5,3,76132264,113,4,0.4449
28,0,1.0,8,8,True,0,0,2,2,76132264,6,4,0.0236
36,0,1.0,7,7,True,0,0,3,1,76134185,156,4,0.3126
32,0,1.0,20,20,True,0,0,6,2,76134185,135,4,0.2705
40,0,1.0,18,18,True,0,0,1,1,76139036,71,2,0.5071
32,0,1.0,26,26,True,0,0,4,4,76140744,39,4,0.1403
36,0,1.0,27,27,True,0,0,8,1,76140744,256,4,0.9209
32,0,1.0,20,20,True,0,0,3,3,76140744,85,4,0.3058
24,2,0.9167,36,38,False,0,2,0,0,76147844,105,4,0.9292
28,3,0.8929,42,41,False,2,1,3,2,76151155,115,2,0.6319
28,0,1.0,13,13,True,0,0,1,1,76151331,167,4,0.6162
36,0,1.0,21,21,True,0,0,2,1,76156832,235,4,0.7015
24,5,0.7917,30,25,False,5,0,9,2,76157049,240,4,0.8136
20,2,0.9,6,4,False,2,0,2,1,76161698,124,4,0.2485
32,1,0.9688,22,23,False,0,1,4,2,76169387,119,2,0.6919
28,0,1.0,447,447,True,0,0,22,1,76176665,138,2,0.9452
28,2,0.9286,256,258,False,0,2,16,1,76176665,120,2,0.8219
32,0,1.0,20,20,True,0,0,4,2,76185100,103,4,0.2346
32,1,0.9688,18,19,False,0,1,4,2,76193676,115,4,0.6461
24,0,1.0,31,31,True,0,0,2,1,76195833,143,4,0.9408
32,0,1.0,75,75,True,0,0,8,1,76202954,111,2,0.9407
32,0,1.0,68,68,True,0,0,4,1,76202954,100,2,0.8475
28,0,1.0,49,49,True,0,0,4,1,76205493,116,4,0.5714
24,0,1.0,10,10,True,0,0,1,1,76207317,47,4,0.3672
36,0,1.0,4,4,True,0,0,1,1,76224773,273,4,0.5471
32,0,1.0,10,10,True,0,0,2,1,76224773,113,4,0.2265
28,2,0.9286,37,37,True,1,1,4,3,76227620,86,4,0.2945
32,1,0.9688,25,25,True,1,1,3,2,76227620,74,4,0.2534
32,1,0.9688,37,38,False,0,1,3,3,76238738,82,4,0.3961
32,0,1.0,27,27,True,0,0,3,1,76238738,129,4,0.6232
36,0,1.0,38,38,True,0,0,3,2,76240675,245,4,0.491
40,1,0.975,22,21,False,1,0,2,1,76240675,157,4,0.3146
36,0,1.0,32,32,True,0,0,8,2,76240675,284,4,0.5691
36,0,1.0,36,36,True,0,0,3,2,76240675,236,4,0.4729
36,1,0.9722,30,31,False,0,1,4,2,76240675,125,4,0.2505
44,0,1.0,23,23,True,0,0,4,1,76241304,254,4,0.9104
40,0,1.0,32,32,True,0,0,9,4,76241304,82,4,0.2939
44,0,1.0,25,25,True,0,0,4,3,76241304,64,4,0.2294
32,0,1.0,35,35,True,0,0,2,2,76242405,113,2,0.7244
32,1,0.9688,33,34,False,0,1,3,3,76247605,86,4,0.3613
40,2,0.95,20,22,False,0,2,2,1,76249460,66,2,0.3587
36,1,0.9722,33,35,False,0,2,3,1,76249460,124,2,0.6739
36,1,0.9722,62,63,False,0,1,7,2,76255902,111,2,0.6687
36,0,1.0,33,33,True,0,0,9,1,76257210,152,4,0.7525
20,1,0.95,30,29,False,1,0,3,2,76257789,80,4,0.442
40,0,1.0,26,26,True,0,0,5,2,76259847,77,2,0.3775
40,0,1.0,27,27,True,0,0,6,2,76259847,73,2,0.3578
32,0,1.0,62,62,True,0,0,5,2,76276130,173,4,0.3467
28,1,0.9643,40,41,False,0,1,1,1,76276130,124,4,0.2485
28,2,0.9286,31,33,False,0,2,6,2,76276130,211,4,0.4228
28,0,1.0,39,39,True,0,0,6,2,76281340,125,4,0.5924
28,0,1.0,8,8,True,0,0,1,1,76281340,15,4,0.0711
36,0,1.0,17,17,True,0,0,1,1,76287943,47,4,0.1347
24,2,0.9167,16,14,False,2,0,4,1,76293330,93,4,0.5602
28,0,1.0,61,61,True,0,0,14,1,76296024,283,4,0.8899
36,0,1.0,31,31,True,0,0,4,2,76312376,75,2,0.6148
32,0,1.0,11,11,True,0,0,2,2,76319914,39,2,0.3333
32,2,0.9375,137,139,False,0,2,17,1,76319914,93,2,0.7949
32,0,1.0,16,16,True,0,0,1,1,76324744,81,4,0.4426
20,0,1.0,15,15,True,0,0,4,3,76334869,28,4,0.1129
