n_planets,n_planet_diffs,pct_planets_match,n_pred_fleets,n_real_fleets,fleet_count_match,n_extra_pred_fleets,n_missing_pred_fleets,n_total_launches,n_active_players,episode_id,step,n_players,phase
32,8,0.75,23,15,False,8,0,8,2,76593975,210,4,0.6752
32,0,1.0,79,79,True,0,0,6,1,76632857,145,4,0.9603
36,1,0.9722,127,128,False,0,1,12,1,76638881,195,4,0.9559
36,0,1.0,5,5,True,0,0,0,0,76638881,9,4,0.0441
40,1,0.975,33,34,False,0,1,5,2,76638881,57,4,0.2794
36,0,1.0,61,61,True,0,0,4,2,76638881,99,4,0.4853
36,0,1.0,144,144,True,0,0,6,1,76638881,188,4,0.9216
28,4,0.8571,24,22,False,3,1,8,3,76657754,82,4,0.4039
32,6,0.8125,36,36,True,4,4,10,4,76657754,54,4,0.266
24,0,1.0,28,28,True,0,0,5,2,76686494,126,4,0.5575
28,0,1.0,18,18,True,0,0,1,1,76697550,34,4,0.2394
32,1,0.9688,38,39,False,0,1,4,2,76744055,87,4,0.4628
36,1,0.9722,33,34,False,0,1,4,2,76744055,70,4,0.3723
