episode_id,player_idx,n_steps,final_label,method,argmax_rel,max_dv
75368665,0,75,0,raw,0.136986301369863,0.16472992000000003
75368665,0,75,0,smooth_k5,0.0,0.09315324400000002
75368665,0,75,0,smooth_k15,0.0,0.03105108133333334
75368665,0,75,0,k5_drop10pct,0.1643835616438356,0.04395693600000006
75368665,0,75,0,k5_drop20pct,0.4383561643835616,0.02185525599999999
75368665,1,75,1,raw,0.1643835616438356,0.21083786999999998
75368665,1,75,1,smooth_k5,0.9863013698630136,0.19748249000000018
75368665,1,75,1,smooth_k15,1.0,0.06571398666666661
75368665,1,75,1,k5_drop10pct,0.1643835616438356,0.06538736
75368665,1,75,1,k5_drop20pct,0.1917808219178082,0.043207434000000045
75648312,0,181,0,raw,0.3463687150837989,0.180215956
75648312,0,181,0,smooth_k5,0.00558659217877095,0.05232359200000003
75648312,0,181,0,smooth_k15,0.0,0.018035253333333334
75648312,0,181,0,k5_drop10pct,0.6871508379888268,0.04232551400000001
75648312,0,181,0,k5_drop20pct,0.6871508379888268,0.04232551400000001
75648312,1,181,0,raw,0.27932960893854747,0.122437245
75648312,1,181,0,smooth_k5,0.00558659217877095,0.05232359200000003
75648312,1,181,0,smooth_k15,0.027932960893854747,0.01914266666666667
75648312,1,181,0,k5_drop10pct,0.2849162011173184,0.0304191848
75648312,1,181,0,k5_drop20pct,0.2849162011173184,0.0304191848
75648312,2,181,1,raw,0.664804469273743,0.20143660000000008
75648312,2,181,1,smooth_k5,0.994413407821229,0.19748249000000018
75648312,2,181,1,smooth_k15,0.9664804469273743,0.06582749666666665
75648312,2,181,1,k5_drop10pct,0.7262569832402235,0.0703800280000001
75648312,2,181,1,k5_drop20pct,0.7262569832402235,0.0703800280000001
75648312,3,181,0,raw,0.09497206703910614,0.12535258000000002
75648312,3,181,0,smooth_k5,0.00558659217877095,0.05182410400000004
75648312,3,181,0,smooth_k15,0.0223463687150838,0.020729133333333344
75648312,3,181,0,k5_drop10pct,0.6983240223463687,0.03463713700000001
75648312,3,181,0,k5_drop20pct,0.6983240223463687,0.03463713700000001
75682275,0,174,0,raw,0.26744186046511625,0.135942094
75682275,0,174,0,smooth_k5,0.0,0.05357642800000001
75682275,0,174,0,smooth_k15,0.03488372093023256,0.018087173333333345
75682275,0,174,0,k5_drop10pct,0.18604651162790697,0.04525994
75682275,0,174,0,k5_drop20pct,0.27906976744186046,0.033240817999999984
75682275,1,174,0,raw,0.48255813953488375,0.20261829999999997
75682275,1,174,0,smooth_k5,0.5348837209302325,0.06256575200000003
75682275,1,174,0,smooth_k15,0.436046511627907,0.026502045333333307
75682275,1,174,0,k5_drop10pct,0.5348837209302325,0.06256575200000003
75682275,1,174,0,k5_drop20pct,0.5348837209302325,0.06256575200000003
75682275,2,174,0,raw,0.5465116279069767,0.14969365
75682275,2,174,0,smooth_k5,0.0,0.05357642800000001
75682275,2,174,0,smooth_k15,0.0,0.017858809333333336
75682275,2,174,0,k5_drop10pct,0.27325581395348836,0.04902772200000005
75682275,2,174,0,k5_drop20pct,0.27325581395348836,0.04902772200000005
75682275,3,174,1,raw,0.6395348837209303,0.28653027999999997
75682275,3,174,1,smooth_k5,1.0,0.19748248999999996
75682275,3,174,1,smooth_k15,0.9651162790697675,0.06582749666666665
75682275,3,174,1,k5_drop10pct,0.6395348837209303,0.13498935199999995
75682275,3,174,1,k5_drop20pct,0.6395348837209303,0.13498935199999995
75696709,0,127,0,raw,0.512,0.16262149999999992
75696709,0,127,0,smooth_k5,0.496,0.06275804399999996
75696709,0,127,0,smooth_k15,0.456,0.022378029333333327
75696709,0,127,0,k5_drop10pct,0.496,0.06275804399999996
75696709,0,127,0,k5_drop20pct,0.496,0.06275804399999996
75696709,1,127,0,raw,0.44,0.08305140999999999
75696709,1,127,0,smooth_k5,0.008,0.05554330000000002
75696709,1,127,0,smooth_k15,0.04,0.021918455999999975
75696709,1,127,0,k5_drop10pct,0.44,0.02506172200000001
75696709,1,127,0,k5_drop20pct,0.44,0.02506172200000001
75696709,2,127,0,raw,0.6,0.08604437300000001
75696709,2,127,0,smooth_k5,0.008,0.05554329999999999
75696709,2,127,0,smooth_k15,0.0,0.018839337333333345
75696709,2,127,0,k5_drop10pct,0.592,0.027470949800000005
75696709,2,127,0,k5_drop20pct,0.592,0.027470949800000005
75696709,3,127,1,raw,0.584,0.33953037
75696709,3,127,1,smooth_k5,0.992,0.19748249000000018
75696709,3,127,1,smooth_k15,0.952,0.06582749666666665
75696709,3,127,1,k5_drop10pct,0.584,0.10891838000000009
75696709,3,127,1,k5_drop20pct,0.584,0.10891838000000009
75699482,0,301,0,raw,0.47157190635451507,0.093463907
75699482,0,301,0,smooth_k5,0.0033444816053511705,0.05232359200000003
75699482,0,301,0,smooth_k15,0.013377926421404682,0.01840744666666666
75699482,0,301,0,k5_drop10pct,0.4682274247491639,0.018887278400000002
75699482,0,301,0,k5_drop20pct,0.4682274247491639,0.018887278400000002
75699482,1,301,0,raw,0.12040133779264214,0.18603888
75699482,1,301,0,smooth_k5,0.12040133779264214,0.05378722400000002
75699482,1,301,0,smooth_k15,0.10702341137123746,0.018847850000000055
75699482,1,301,0,k5_drop10pct,0.12040133779264214,0.05378722400000002
75699482,1,301,0,k5_drop20pct,0.2140468227424749,0.038727766000000025
75699482,2,301,0,raw,0.5719063545150501,0.23840165000000002
75699482,2,301,0,smooth_k5,0.39464882943143814,0.07815212799999999
75699482,2,301,0,smooth_k15,0.38461538461538464,0.028009461999999985
75699482,2,301,0,k5_drop10pct,0.39464882943143814,0.07815212799999999
75699482,2,301,0,k5_drop20pct,0.39464882943143814,0.07815212799999999
75699482,3,301,1,raw,0.6488294314381271,0.51588765
75699482,3,301,1,smooth_k5,0.9966555183946488,0.19748249000000018
75699482,3,301,1,smooth_k15,0.979933110367893,0.06582749666666665
75699482,3,301,1,k5_drop10pct,0.6555183946488294,0.10274718999999999
75699482,3,301,1,k5_drop20pct,0.6555183946488294,0.10274718999999999
75699913,0,160,1,raw,0.2911392405063291,0.28861936
75699913,0,160,1,smooth_k5,0.9936708860759493,0.19748249000000018
75699913,0,160,1,smooth_k15,0.9620253164556962,0.06582749666666665
75699913,0,160,1,k5_drop10pct,0.6518987341772152,0.06874286000000007
75699913,0,160,1,k5_drop20pct,0.6518987341772152,0.06874286000000007
