candidate_a_idx,candidate_a_name,candidate_b_idx,candidate_b_name,match_id,seed,points_a,points_b,win_a,draw,win_b,reward_our,reward_sub,ships_our_final,ships_sub_final,ships_diff,steps,match_time_sec
1,winner_seed4,2,winner_seed11,8,2208,1.0,0.0,1,0,0,1,-1,3074,0,3074,209,14.1
1,winner_seed4,2,winner_seed11,11,2211,0.0,1.0,0,0,1,-1,1,0,1330,-1330,283,7.7
1,winner_seed4,2,winner_seed11,9,2209,1.0,0.0,1,0,0,1,-1,2435,0,2435,210,13.4
1,winner_seed4,2,winner_seed11,7,2207,1.0,0.0,1,0,0,1,-1,2726,0,2726,296,18.9
1,winner_seed4,2,winner_seed11,13,2213,1.0,0.0,1,0,0,1,-1,4081,0,4081,234,7.5
1,winner_seed4,2,winner_seed11,10,2210,0.0,1.0,0,0,1,-1,1,305,31424,-31119,500,16.8
1,winner_seed4,2,winner_seed11,12,2212,1.0,0.0,1,0,0,1,-1,1561,0,1561,200,9.3
1,winner_seed4,2,winner_seed11,14,2214,1.0,0.0,1,0,0,1,-1,2364,0,2364,223,9.1
1,winner_seed4,2,winner_seed11,17,2217,1.0,0.0,1,0,0,1,-1,2282,0,2282,152,5.5
1,winner_seed4,2,winner_seed11,16,2216,0.0,1.0,0,0,1,-1,1,0,2263,-2263,222,8.3
1,winner_seed4,2,winner_seed11,15,2215,1.0,0.0,1,0,0,1,-1,2786,0,2786,330,13.7
1,winner_seed4,2,winner_seed11,18,2218,1.0,0.0,1,0,0,1,-1,3924,0,3924,206,8.7
1,winner_seed4,3,winner_seed19,0,2300,0.0,1.0,0,0,1,-1,1,0,1558,-1558,170,10.7
1,winner_seed4,2,winner_seed11,19,2219,0.0,1.0,0,0,1,-1,1,0,2116,-2116,406,14.1
1,winner_seed4,3,winner_seed19,2,2302,1.0,0.0,1,0,0,1,-1,2400,0,2400,208,8.4
1,winner_seed4,3,winner_seed19,6,2306,1.0,0.0,1,0,0,1,-1,2171,0,2171,172,6.3
1,winner_seed4,3,winner_seed19,4,2304,0.0,1.0,0,0,1,-1,1,0,3766,-3766,212,8.0
1,winner_seed4,3,winner_seed19,1,2301,0.0,1.0,0,0,1,-1,1,0,2231,-2231,188,16.8
1,winner_seed4,3,winner_seed19,3,2303,1.0,0.0,1,0,0,1,-1,3717,0,3717,218,20.2
1,winner_seed4,3,winner_seed19,5,2305,0.0,1.0,0,0,1,-1,1,0,3314,-3314,244,13.3
1,winner_seed4,3,winner_seed19,8,2308,0.0,1.0,0,0,1,-1,1,0,1945,-1945,177,8.4
1,winner_seed4,3,winner_seed19,9,2309,0.0,1.0,0,0,1,-1,1,0,4753,-4753,229,13.9
1,winner_seed4,3,winner_seed19,7,2307,0.0,1.0,0,0,1,-1,1,0,3592,-3592,209,15.4
1,winner_seed4,3,winner_seed19,12,2312,1.0,0.0,1,0,0,1,-1,3562,0,3562,221,9.1
1,winner_seed4,3,winner_seed19,10,2310,0.0,1.0,0,0,1,-1,1,0,2847,-2847,211,12.8
1,winner_seed4,3,winner_seed19,11,2311,0.0,1.0,0,0,1,-1,1,0,2496,-2496,199,13.9
1,winner_seed4,3,winner_seed19,13,2313,0.0,1.0,0,0,1,-1,1,0,2155,-2155,207,8.9
1,winner_seed4,3,winner_seed19,15,2315,1.0,0.0,1,0,0,1,-1,2475,0,2475,154,6.5
1,winner_seed4,3,winner_seed19,14,2314,0.0,1.0,0,0,1,-1,1,0,2953,-2953,211,12.8
1,winner_seed4,3,winner_seed19,17,2317,1.0,0.0,1,0,0,1,-1,1940,0,1940,159,9.2
