seed,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,time_sec,phase,trial,w_activity_weight,w_idle_floor,w_distance_comfort,w_risk_tolerance,w_ships_weight,w_eta_bonus,w_priority_bonus,w_stress_top_k,w_stress_gamma
19,1,-1,1,0,208,4504,0,4504,9.86,1,0,1.4835,27.0,0.1517,1.0,2.3466,42.1591,0.0832,3.0,0.5156
23,-1,1,0,0,142,0,622,-622,17.67,1,0,1.2442,19.0,0.36,0.0,3.5502,31.1491,1.6538,3.0,0.7955
23,-1,1,0,0,163,0,560,-560,10.3,1,1,1.3094,17.0,0.0504,1.0,2.1123,36.2269,1.8701,1.0,0.4541
23,-1,1,0,0,154,0,475,-475,12.64,1,2,0.4775,33.0,0.6011,0.0,1.0964,24.022,1.7308,3.0,0.6706
23,1,-1,1,0,214,3556,0,3556,19.17,1,3,2.9465,37.0,0.4446,1.0,3.5975,11.9995,0.4587,1.0,0.7677
25,1,-1,1,0,192,3959,0,3959,13.7,1,0,0.2244,34.0,0.2859,1.0,3.3223,47.795,1.2884,5.0,0.4668
22,-1,1,0,0,141,0,3879,-3879,8.21,1,0,1.4285,30.0,0.4291,0.0,1.6281,20.7459,2.7381,2.0,0.7192
22,-1,1,0,0,231,0,583,-583,16.28,1,1,2.3346,14.0,0.0559,1.0,3.5203,38.8515,0.251,1.0,0.8566
22,-1,1,0,0,145,0,1483,-1483,9.47,1,2,0.5237,28.0,0.032,1.0,1.754,17.8695,2.4449,4.0,0.5382
22,1,-1,1,0,141,2286,0,2286,3.64,1,3,0.6413,33.0,0.0961,1.0,2.8706,22.2808,1.0926,4.0,0.6115
31,-1,1,0,0,141,0,583,-583,8.91,1,0,0.8394,26.0,0.3362,0.0,3.6877,33.4695,1.4617,5.0,0.6003
31,-1,1,0,0,130,0,335,-335,8.04,1,1,1.3527,10.0,0.1786,0.0,3.3249,32.3072,1.4947,4.0,0.4082
31,1,-1,1,0,198,2765,0,2765,11.11,1,2,0.1679,18.0,0.3981,0.0,6.2989,38.4842,0.2724,3.0,0.8306
30,1,-1,1,0,189,3644,0,3644,11.72,1,0,0.2203,29.0,0.5169,0.0,2.7519,31.759,1.123,5.0,0.3774
37,-1,1,0,0,129,0,1763,-1763,9.13,1,0,0.436,21.0,0.4171,0.0,1.9671,37.6952,0.4651,3.0,0.3178
37,-1,1,0,0,137,0,1562,-1562,10.58,1,1,0.3297,33.0,0.3438,1.0,1.3817,29.2487,2.0653,5.0,0.7906
37,-1,1,0,0,139,0,879,-879,17.35,1,2,1.1464,18.0,0.5458,1.0,0.3283,46.4927,0.9956,4.0,0.7497
