seed,reward_our,reward_sub,win,draw,steps,match_time_sec,omega,n_planets,n_orbital,n_static,n_our_start,n_sub_start,n_neutrals,prod_total,prod_total_neutrals,prod_mean,prod_var,min_dist_home_neutral,mean_dist_home_neutral,mean_inter_dist,max_inter_dist,sun_blockage_pct,n_prod_1,n_prod_2,n_prod_3,n_prod_4,n_prod_5,final_ships_diff,final_prod_diff,final_n_diff,max_ships_diff,min_ships_diff,max_lead_turn,min_lead_turn,first_lead_turn,first_lag_turn,lead_changes,avg_ships_diff_q1,avg_ships_diff_q2,avg_ships_diff_q3,avg_ships_diff_q4,avg_ratio_q1,avg_ratio_q2,avg_ratio_q3,avg_ratio_q4,dominance_area,mid_game_lead,turn_total_war,cluster
3,-1,1,0,0,131,6.3,0.02602561197798246,24,8,16,1,1,22,68,64,2.833,1.472,11.2,61.62,60.92,109.74,0.2029,4,8,0,12,0,-368,-64,-22,220,-445,58,126,4,6,16,12.9,129.4,45.3,-275.8,0.645,0.737,0.543,0.15,-3649,-81,0,3
4,1,-1,1,0,187,8.1,0.049396761592679146,28,12,16,1,1,26,52,50,1.857,2.122,9.39,64.21,59.88,108.29,0.2275,20,0,4,0,4,2368,52,28,2368,-17,186,9,17,2,3,7.2,64.3,295.4,1312.3,0.579,0.791,0.913,0.992,81182,88,0,2
0,1,-1,1,0,154,10.0,0.04638470414479971,28,12,16,1,1,26,80,72,2.857,2.694,12.56,54.07,59.68,111.41,0.2275,8,8,0,4,8,4272,80,28,4342,-21,150,12,4,11,11,27.9,243.4,570.9,3030.0,0.578,0.731,0.787,0.999,153204,296,0,4
5,-1,1,0,0,156,8.0,0.03149686214074117,20,8,12,1,1,18,60,50,3.0,2.8,14.12,54.71,65.67,128.61,0.2,4,8,0,0,8,-521,-60,-20,215,-672,67,147,3,18,18,32.1,61.8,-73.5,-373.0,0.66,0.56,0.445,0.153,-13753,136,0,0
1,1,-1,1,0,240,17.6,0.027182763797834027,24,12,12,1,1,22,72,70,3.0,2.333,10.69,52.71,58.6,111.87,0.2319,8,0,4,8,4,5086,72,24,5086,-54,239,90,18,15,11,38.7,176.6,624.4,3100.3,0.561,0.636,0.791,0.973,236401,407,0,4
7,1,-1,1,0,197,14.8,0.047419591488198645,28,12,16,1,1,26,60,58,2.143,3.265,12.43,62.52,60.3,108.92,0.2063,20,0,0,0,8,3254,60,28,3254,-23,196,32,2,7,11,7.1,83.6,503.3,1970.8,0.588,0.682,0.81,0.99,127648,98,0,2
2,1,-1,1,0,313,25.9,0.04010597241613975,28,8,20,1,1,26,76,74,2.714,2.776,9.41,53.69,60.53,104.28,0.1958,12,0,8,0,8,3268,76,28,3268,-199,312,149,2,4,39,13.6,67.3,215.6,1268.1,0.556,0.539,0.617,0.837,123300,23,0,3
6,-1,1,0,0,179,20.1,0.0366375007834305,32,12,20,1,1,30,76,70,2.375,0.984,10.33,55.07,61.15,115.49,0.2137,8,8,12,4,0,-845,-79,-35,599,-976,102,176,3,19,12,21.2,166.9,266.9,-433.9,0.643,0.644,0.605,0.239,-374,414,0,1
8,1,-1,1,0,208,21.2,0.026553148948352548,32,12,20,1,1,30,56,54,1.75,0.938,10.22,49.68,59.28,110.69,0.2097,20,0,12,0,0,2015,56,32,2015,-180,207,146,9,8,19,52.7,145.9,107.9,882.2,0.649,0.635,0.555,0.892,61809,227,0,1
9,-1,1,0,0,286,40.6,0.04588782327065385,32,16,16,1,1,30,80,72,2.5,1.75,12.3,55.13,60.42,120.84,0.2339,8,12,4,4,4,-2140,-80,-32,529,-2140,64,285,5,2,22,199.5,286.5,175.1,-481.9,0.655,0.587,0.566,0.263,11752,379,0,4
