seed,reward_our,reward_sub,win,draw,steps,match_time_sec,omega,n_planets,n_orbital,n_static,n_our_start,n_sub_start,n_neutrals,prod_total,prod_total_neutrals,prod_mean,prod_var,min_dist_home_neutral,mean_dist_home_neutral,mean_inter_dist,max_inter_dist,sun_blockage_pct,n_prod_1,n_prod_2,n_prod_3,n_prod_4,n_prod_5,final_ships_diff,final_prod_diff,final_n_diff,max_ships_diff,min_ships_diff,max_lead_turn,min_lead_turn,first_lead_turn,first_lag_turn,lead_changes,avg_ships_diff_q1,avg_ships_diff_q2,avg_ships_diff_q3,avg_ships_diff_q4,avg_ratio_q1,avg_ratio_q2,avg_ratio_q3,avg_ratio_q4,dominance_area,mid_game_lead,turn_total_war,cluster
15,1,-1,1,0,192,11.0,0.034453197449786206,28,12,16,1,1,26,76,74,2.714,1.918,13.09,72.36,60.35,128.06,0.2328,8,4,8,4,4,3924,76,28,3924,-28,191,60,12,3,5,5.5,99.7,510.9,2260.8,0.54,0.762,0.846,0.99,138087,400,0,0
16,1,-1,1,0,149,11.0,0.04220060637102638,32,12,20,1,1,30,92,90,2.875,2.609,9.64,62.44,59.86,110.18,0.1976,12,0,8,4,8,4905,92,32,4905,-5,148,33,5,9,7,8.3,217.6,453.8,3090.0,0.606,0.73,0.751,0.991,142568,542,0,1
17,-1,1,0,0,179,12.2,0.03407033043343797,24,8,16,1,1,22,60,56,2.5,1.25,17.24,51.6,64.07,131.36,0.2174,4,12,0,8,0,-677,-64,-28,340,-677,79,178,2,4,18,8.8,163.7,4.1,-282.0,0.592,0.665,0.481,0.227,-5486,281,0,4
19,1,-1,1,0,168,14.2,0.04427466788171534,32,16,16,1,1,30,68,60,2.125,1.359,11.96,51.74,58.35,123.27,0.2298,12,12,0,8,0,5254,68,32,5254,-6,167,6,2,3,9,78.4,534.8,1184.2,3876.7,0.646,0.713,0.861,0.999,238315,988,0,2
22,1,-1,1,0,147,12.1,0.03722193490489545,32,12,20,1,1,30,96,86,3.0,2.75,14.73,63.75,61.99,127.25,0.2097,8,8,4,0,12,4520,96,32,4520,-15,146,9,2,9,5,38.3,271.6,655.1,2657.3,0.61,0.667,0.75,0.986,138373,499,0,1
23,-1,1,0,0,133,6.5,0.03904973237759984,20,8,12,1,1,18,64,62,3.2,3.36,11.0,53.37,59.91,110.89,0.2105,8,0,0,4,8,-430,-64,-20,177,-577,49,129,14,25,8,7.9,47.8,-115.5,-266.0,0.579,0.584,0.326,0.256,-11015,-112,0,3
20,1,-1,1,0,185,16.4,0.030356341414977728,28,12,16,1,1,26,84,80,3.0,2.571,12.39,70.44,59.31,124.51,0.2487,8,4,4,4,8,4422,84,28,4422,-7,184,21,5,16,7,45.8,273.8,719.7,2567.1,0.642,0.707,0.77,0.991,168466,545,0,0
21,-1,1,0,0,170,15.8,0.0375024830954364,32,12,20,1,1,30,72,66,2.25,1.688,10.95,63.24,62.53,115.82,0.2137,12,8,8,0,4,-1203,-76,-36,129,-1203,64,169,3,4,14,13.1,32.1,-111.4,-505.7,0.607,0.583,0.39,0.15,-25032,-12,0,1
27,-1,1,0,0,120,5.9,0.03133588116363693,24,12,12,1,1,22,40,38,1.667,1.222,9.99,45.48,55.03,100.55,0.2464,16,4,0,4,0,-202,-23,-16,78,-202,60,119,21,22,6,-1.5,28.6,-38.0,-113.7,0.458,0.624,0.355,0.191,-3740,78,0,3
24,-1,1,0,0,128,12.4,0.0257987620049591,28,12,16,1,1,26,92,88,3.286,1.918,12.74,52.59,59.05,129.3,0.2275,4,4,8,4,8,-940,-92,-28,247,-940,38,127,8,44,10,24.3,15.7,-139.4,-461.7,0.595,0.54,0.403,0.18,-17953,-28,0,0
26,-1,1,0,0,149,16.7,0.03623520463020059,28,12,16,1,1,26,108,102,3.857,1.265,12.69,64.63,57.93,110.86,0.2063,0,4,8,4,12,-889,-108,-28,312,-889,67,148,2,9,16,55.5,106.5,81.8,-399.6,0.713,0.581,0.543,0.224,-6161,27,0,1
18,1,-1,1,0,288,40.7,0.02618703885707637,36,16,20,1,1,34,92,90,2.556,2.247,10.07,47.26,57.52,120.01,0.2286,12,8,8,0,8,4371,92,36,4371,-90,287,142,19,2,11,67.7,291.4,391.8,2117.6,0.671,0.699,0.648,0.918,206521,129,0,0
31,-1,1,0,0,111,4.7,0.03398875466728157,20,8,12,1,1,18,56,54,2.8,3.36,11.29,52.02,58.29,105.32,0.2421,8,4,0,0,8,-472,-56,-20,115,-475,44,105,23,17,16,2.1,29.9,-10.0,-227.9,0.498,0.571,0.475,0.202,-6244,-53,0,3
25,1,-1,1,0,184,25.4,0.03152413671624999,32,16,16,1,1,30,72,66,2.25,1.688,11.51,65.76,60.95,128.73,0.2177,16,0,8,8,0,2574,72,32,3054,-3,176,9,2,8,5,80.1,383.4,348.7,1944.0,0.662,0.697,0.711,0.964,126785,72,0,0
29,1,-1,1,0,191,17.5,0.04600401773079885,32,12,20,1,1,30,104,96,3.25,1.938,14.27,62.64,61.56,128.31,0.2056,8,0,4,16,4,7948,104,32,7948,-46,190,67,2,11,7,83.6,217.4,1060.1,5444.2,0.679,0.626,0.812,1.0,336177,141,0,1
30,-1,1,0,0,168,15.7,0.026111648943516155,32,12,20,1,1,30,80,70,2.5,2.25,11.82,61.51,60.87,121.49,0.2177,12,8,0,8,4,-3227,-84,-36,420,-3227,56,167,2,5,22,62.5,152.7,-123.4,-885.2,0.703,0.614,0.382,0.09,-33323,68,0,0
28,1,-1,1,0,233,26.8,0.04571840774290783,32,12,20,1,1,30,64,62,2.0,1.0,18.35,76.16,62.04,135.36,0.2218,12,12,4,4,0,3844,64,32,3844,-65,232,83,7,2,9,30.6,197.3,462.2,1928.3,0.543,0.634,0.697,0.936,153798,569,0,4
33,-1,1,0,0,211,14.3,0.03850849462536755,24,8,16,1,1,22,72,70,3.0,2.333,11.03,59.66,57.92,103.59,0.2029,4,8,4,0,8,-4825,-72,-24,177,-4825,123,210,26,23,32,3.6,17.8,-103.9,-2518.6,0.503,0.535,0.383,0.017,-142816,-18,0,3
32,1,-1,1,0,197,26.7,0.029061203179273045,32,16,16,1,1,30,92,84,2.875,1.609,15.4,60.44,58.24,125.89,0.2177,8,4,4,16,0,4166,92,32,4166,-125,196,129,3,5,11,58.4,324.3,334.6,2111.8,0.657,0.678,0.654,0.963,140736,693,0,0
35,1,-1,1,0,198,19.1,0.04706731653136359,28,12,16,1,1,26,72,62,2.571,2.816,11.78,51.98,60.04,108.69,0.1799,12,4,4,0,8,3767,72,28,3767,-199,197,111,3,4,13,50.9,202.0,498.9,2214.9,0.565,0.626,0.707,0.992,149797,564,0,1
36,-1,1,0,0,146,18.4,0.036599394456006414,32,16,16,1,1,30,72,70,2.25,0.938,12.47,61.6,57.1,108.06,0.2016,8,12,8,4,0,-2936,-72,-32,132,-2936,63,145,5,2,20,6.1,15.8,-73.4,-1029.1,0.551,0.538,0.446,0.1,-40960,101,0,2
37,-1,1,0,0,132,17.6,0.03099972458944689,32,16,16,1,1,30,88,78,2.75,2.688,12.49,59.93,58.08,112.59,0.2177,12,4,4,4,8,-2919,-88,-32,261,-2919,59,131,2,3,14,33.9,128.2,-234.3,-1041.7,0.614,0.597,0.37,0.114,-36759,-155,0,0
38,1,-1,1,0,179,14.9,0.0445877846060545,32,16,16,1,1,30,84,80,2.625,2.234,13.23,62.77,55.74,107.83,0.2097,8,12,4,0,8,3283,85,33,3369,-6,176,42,9,42,5,11.3,170.7,521.8,2169.4,0.651,0.78,0.848,0.983,132932,441,0,2
41,1,-1,1,0,178,18.7,0.0413521229955002,28,12,16,1,1,26,76,66,2.714,2.49,11.91,52.55,59.59,120.5,0.2275,8,8,4,0,8,2559,78,30,3706,-148,174,65,2,5,9,53.5,114.5,667.7,1983.8,0.634,0.597,0.818,0.963,128028,284,0,2
40,1,-1,1,0,214,23.9,0.04645386717472698,40,16,24,1,1,38,80,78,2.0,1.6,10.27,48.04,59.16,114.13,0.2205,20,8,8,0,4,5412,80,40,5412,-3,213,35,2,34,3,36.3,277.6,755.8,3211.3,0.76,0.772,0.868,0.998,233317,89,0,2
39,-1,1,0,0,193,25.7,0.04305165821680313,32,12,20,1,1,30,92,86,2.875,2.609,10.14,63.88,61.27,120.13,0.2097,12,0,8,4,8,-3093,-92,-32,596,-3093,111,192,9,76,12,58.8,154.9,35.9,-836.1,0.673,0.589,0.469,0.129,-28992,201,0,1
43,1,-1,1,0,132,9.1,0.037640790116413386,28,12,16,1,1,26,72,64,2.571,2.531,12.69,61.95,61.33,122.59,0.2169,12,4,0,8,4,4252,72,28,4252,-9,131,13,5,10,5,30.9,161.1,801.4,3102.4,0.673,0.738,0.871,0.999,135160,129,0,4
44,1,-1,1,0,167,11.6,0.034031240780800845,28,12,16,1,1,26,76,74,2.714,2.49,11.4,69.95,60.61,122.77,0.2487,8,8,4,0,8,4869,80,32,4869,-6,166,11,2,8,9,16.4,116.0,653.4,3331.4,0.626,0.646,0.822,1.0,178804,238,0,0
45,-1,1,0,0,196,16.6,0.03458094300967253,28,12,16,1,1,26,48,46,1.714,1.347,12.27,61.99,60.43,107.51,0.1905,20,0,4,4,0,-426,-46,-26,169,-426,116,195,16,19,30,13.3,-3.8,-10.2,-225.9,0.593,0.504,0.49,0.208,-11099,47,0,4
42,1,-1,1,0,230,30.0,0.04885362402852449,32,12,20,1,1,30,84,82,2.625,2.734,10.29,67.36,60.62,115.9,0.2016,12,8,0,4,8,5025,84,32,5025,-209,229,134,14,43,13,52.4,155.7,260.0,2662.8,0.602,0.583,0.609,0.959,183786,308,0,1
47,-1,1,0,0,125,8.4,0.034917817190154285,24,8,16,1,1,22,76,72,3.167,2.472,16.12,61.5,61.77,127.1,0.2246,4,8,0,4,8,-852,-76,-24,163,-852,67,124,3,11,22,23.3,18.1,31.6,-378.1,0.624,0.56,0.523,0.195,-9836,117,0,4
34,1,-1,1,0,500,68.2,0.04958698479187745,36,16,20,1,1,34,96,90,2.667,2.667,12.22,61.46,57.84,102.96,0.1905,16,0,8,4,8,20218,62,22,20760,-3,487,18,2,18,5,745.9,5454.9,11706.7,17677.3,0.716,0.751,0.76,0.789,4448092,8606,0,1
50,-1,1,0,0,132,7.0,0.033434929322978514,24,8,16,1,1,22,64,60,2.667,1.222,10.49,49.32,59.66,111.3,0.2029,0,16,4,0,4,-505,-64,-24,95,-570,39,124,2,26,18,8.5,-7.8,-120.8,-352.9,0.641,0.5,0.321,0.147,-15606,-71,0,3
51,-1,1,0,0,172,12.5,0.049560413243843915,24,8,16,1,1,22,80,70,3.333,2.222,12.67,61.66,63.67,131.5,0.2319,4,4,4,4,8,-1021,-84,-28,361,-1021,87,171,5,7,24,16.1,71.9,58.1,-442.2,0.597,0.599,0.536,0.168,-12734,171,0,4
46,-1,1,0,0,207,26.4,0.037347688540168816,32,16,16,1,1,30,68,66,2.125,1.359,10.73,71.05,59.1,125.97,0.2339,12,12,0,8,0,-1872,-68,-32,249,-1872,72,206,2,7,30,32.0,65.9,-60.6,-495.1,0.582,0.573,0.466,0.183,-24834,98,0,2
48,1,-1,1,0,200,21.6,0.04389754669646813,32,12,20,1,1,30,68,58,2.125,2.859,14.1,61.9,61.98,125.45,0.2097,20,4,0,0,8,3822,68,32,3822,-145,199,92,3,5,19,109.6,68.3,606.3,2217.7,0.668,0.565,0.763,0.987,150097,163,0,1
49,-1,1,0,0,201,29.0,0.0370956111448139,36,16,20,1,1,34,80,76,2.222,0.84,12.63,61.42,59.26,125.93,0.2254,8,16,8,4,0,-2639,-80,-36,285,-2639,89,200,5,4,16,12.1,113.5,31.5,-720.9,0.526,0.664,0.509,0.176,-28904,271,0,2
52,1,-1,1,0,284,22.1,0.044488614399701004,20,8,12,1,1,18,72,64,3.6,2.24,14.21,67.37,63.11,122.76,0.2211,4,0,4,4,8,3174,72,20,3520,-165,277,82,2,7,13,76.1,267.6,545.3,1558.2,0.633,0.627,0.741,0.922,173748,357,0,4
54,-1,1,0,0,157,15.7,0.044610141087807316,28,12,16,1,1,26,84,82,3.0,2.571,10.61,52.07,58.96,114.23,0.2275,8,4,4,4,8,-766,-87,-31,149,-766,62,156,10,4,16,1.2,30.8,-101.1,-402.2,0.514,0.57,0.388,0.199,-18782,-145,0,2
53,-1,1,0,0,174,17.3,0.03479021765291404,32,12,20,1,1,30,88,84,2.75,2.688,11.31,53.59,60.18,120.12,0.1976,12,4,4,4,8,-2233,-92,-36,184,-2233,63,173,2,5,12,23.7,77.7,-196.7,-711.0,0.636,0.596,0.331,0.089,-36097,-80,0,1
55,-1,1,0,0,158,13.1,0.04883194673758157,24,8,16,1,1,22,76,70,3.167,1.806,12.52,67.82,61.53,116.17,0.2174,4,4,4,8,4,-509,-77,-25,189,-620,71,146,4,19,18,31.0,30.6,-169.7,-295.9,0.61,0.543,0.36,0.218,-16346,-158,0,4
59,-1,1,0,0,122,9.1,0.03862127277387605,28,16,12,1,1,26,76,70,2.714,1.633,11.06,51.58,56.97,113.84,0.2328,4,12,4,4,4,-492,-68,-25,145,-514,58,118,14,3,8,25.3,52.5,22.2,-280.1,0.584,0.633,0.538,0.128,-5961,87,0,2
56,1,-1,1,0,186,17.4,0.032943538273289934,32,12,20,1,1,30,92,90,2.875,2.109,11.23,62.46,57.26,105.96,0.2056,4,16,0,4,8,3667,92,32,3791,0,179,0,10,-1,1,35.2,261.3,406.5,1946.2,0.757,0.829,0.729,0.952,125761,277,0,1
58,-1,1,0,0,163,15.0,0.031663212482025395,28,12,16,1,1,26,80,70,2.857,3.551,11.84,51.59,61.89,130.13,0.2487,12,4,0,0,12,-2500,-84,-32,159,-2500,45,162,3,7,18,35.0,1.9,-198.1,-1009.1,0.594,0.509,0.369,0.022,-49841,-171,0,0
60,-1,1,0,0,128,15.2,0.031374541485407546,32,12,20,1,1,30,72,70,2.25,2.188,9.79,65.83,59.57,112.83,0.2056,16,4,4,4,4,-3207,-72,-32,69,-3207,22,127,2,4,26,13.3,-9.2,-159.2,-1542.6,0.553,0.467,0.357,0.029,-54324,42,0,1
57,-1,1,0,0,254,20.0,0.040612732008698305,28,8,20,1,1,26,52,46,1.857,1.265,12.3,66.47,64.39,123.12,0.2275,16,4,4,4,0,-1395,-54,-30,221,-3229,141,250,5,2,34,30.9,38.5,-5.7,-1209.9,0.633,0.546,0.503,0.079,-74639,-17,0,4
63,-1,1,0,0,126,13.8,0.03726546110654206,32,16,16,1,1,30,68,60,2.125,1.359,10.63,53.86,58.81,114.03,0.2258,16,0,12,4,0,-424,-59,-29,250,-507,41,123,3,2,10,26.9,134.4,-58.7,-300.8,0.629,0.681,0.455,0.189,-6749,35,0,2
65,1,-1,1,0,157,14.5,0.045628247124514035,32,16,16,1,1,30,76,70,2.375,0.234,10.81,62.43,56.31,107.29,0.2137,0,20,12,0,0,3881,76,32,3881,-8,156,13,4,13,3,22.8,180.3,509.7,2326.5,0.692,0.85,0.816,0.988,120862,403,0,2
62,-1,1,0,0,182,24.4,0.04622736009557304,28,12,16,1,1,26,88,84,3.143,2.122,12.41,52.59,58.87,108.42,0.1905,4,8,4,4,8,-2810,-92,-32,279,-2810,87,181,2,4,32,55.0,83.3,-69.4,-737.4,0.563,0.555,0.459,0.174,-31560,-169,0,1
67,-1,1,0,0,111,7.8,0.0394830748105575,24,8,16,1,1,22,88,82,3.667,1.222,17.72,63.13,62.03,119.44,0.2174,0,4,8,4,8,-1601,-88,-24,106,-1601,36,110,2,12,12,7.4,20.6,-170.7,-489.7,0.557,0.573,0.353,0.166,-18544,-42,0,4
61,1,-1,1,0,228,32.4,0.04333192413675514,36,16,20,1,1,34,64,62,1.778,0.617,9.77,61.65,59.08,119.15,0.2254,16,12,8,0,0,3879,64,36,3879,-38,227,80,2,15,9,17.9,116.5,314.0,2089.5,0.578,0.622,0.749,0.993,144664,196,0,2
64,1,-1,1,0,218,25.2,0.04094931898764649,28,16,12,1,1,26,80,72,2.857,2.694,13.21,54.02,57.18,112.35,0.2169,8,8,0,4,8,6216,80,28,6216,-86,217,41,2,5,11,38.6,340.2,1045.2,3930.5,0.54,0.69,0.805,0.994,297006,340,0,2
68,-1,1,0,0,183,14.3,0.041749719408379335,24,8,16,1,1,22,60,52,2.5,1.583,12.12,62.87,62.91,118.6,0.2174,8,4,4,8,0,-1292,-64,-28,331,-1292,95,182,5,4,30,16.2,50.7,73.5,-387.8,0.567,0.579,0.535,0.189,-12295,203,0,4
69,-1,1,0,0,222,28.8,0.02983976491358066,28,16,12,1,1,26,68,64,2.429,1.102,12.38,51.79,54.98,108.31,0.2222,4,16,0,8,0,-2486,-68,-28,408,-2486,126,221,11,12,28,39.1,151.5,146.0,-632.0,0.576,0.622,0.564,0.195,-17510,356,0,2
70,-1,1,0,0,210,37.9,0.04339842466366403,36,16,20,1,1,34,112,102,3.111,3.654,13.02,61.78,59.18,121.01,0.219,16,0,0,4,16,-5211,-112,-36,624,-5211,114,209,4,8,14,115.8,325.4,128.8,-1688.4,0.661,0.626,0.533,0.115,-61530,181,0,1
66,1,-1,1,0,500,52.8,0.03873238578212973,36,12,24,1,1,34,76,72,2.111,0.988,10.86,56.67,62.62,119.54,0.2254,12,12,8,4,0,11471,28,10,11471,-3,499,4,2,4,3,382.2,2741.4,6157.0,9685.6,0.73,0.675,0.686,0.689,2370770,4438,0,1
