seed,reward_our,reward_sub,win,draw,steps,match_time_sec,omega,n_planets,n_orbital,n_static,n_our_start,n_sub_start,n_neutrals,prod_total,prod_total_neutrals,prod_mean,prod_var,min_dist_home_neutral,mean_dist_home_neutral,mean_inter_dist,max_inter_dist,sun_blockage_pct,n_prod_1,n_prod_2,n_prod_3,n_prod_4,n_prod_5,final_ships_diff,final_prod_diff,final_n_diff,max_ships_diff,min_ships_diff,max_lead_turn,min_lead_turn,first_lead_turn,first_lag_turn,lead_changes,avg_ships_diff_q1,avg_ships_diff_q2,avg_ships_diff_q3,avg_ships_diff_q4,avg_ratio_q1,avg_ratio_q2,avg_ratio_q3,avg_ratio_q4,dominance_area,mid_game_lead,turn_total_war,cluster
5,-1,1,0,0,117,7.7,0.04034666522674405,20,8,12,1,1,18,72,62,3.6,1.84,22.68,63.08,59.35,105.7,0.2316,4,0,0,12,4,-793,-72,-20,224,-793,34,116,2,39,10,35.0,-0.2,-143.8,-380.2,0.624,0.493,0.403,0.121,-14568,81,0,4
1,-1,1,0,0,135,9.7,0.04261632274611503,24,8,16,1,1,22,72,64,3.0,2.0,12.77,65.59,61.09,110.86,0.2029,4,8,0,8,4,-800,-72,-24,204,-972,82,129,3,18,18,5.5,87.8,-51.2,-390.8,0.546,0.639,0.435,0.162,-12679,-11,0,4
6,-1,1,0,0,115,7.1,0.0432445943581303,24,8,16,1,1,22,88,82,3.667,1.222,13.58,50.79,60.63,110.51,0.2029,0,4,8,4,8,-428,-84,-23,142,-810,57,112,2,25,14,10.3,9.5,-97.5,-358.1,0.632,0.506,0.429,0.199,-13277,142,0,4
4,-1,1,0,0,257,15.0,0.02887662271385782,20,8,12,1,1,18,60,58,3.0,2.0,13.1,52.61,58.54,103.13,0.2211,4,4,4,4,4,-2432,-64,-24,345,-2649,98,250,32,19,28,37.0,101.2,-41.3,-782.2,0.554,0.556,0.445,0.209,-44645,-68,0,3
3,1,-1,1,0,190,28.2,0.048508666274386644,40,16,24,1,1,38,96,94,2.4,1.64,13.85,60.81,58.99,119.15,0.2077,12,12,8,4,4,5306,96,40,5306,-8,189,47,2,7,9,26.6,165.3,534.2,3013.3,0.661,0.632,0.699,0.984,181780,383,0,1
8,-1,1,0,0,168,18.6,0.03590349296333078,36,12,24,1,1,34,96,94,2.667,1.333,10.99,69.84,61.44,120.91,0.1937,8,8,8,12,0,-5680,-100,-40,263,-5680,60,167,2,10,16,44.3,95.0,-280.8,-2190.9,0.64,0.576,0.293,0.024,-97959,-66,0,1
9,1,-1,1,0,209,20.6,0.04840492884783505,28,8,20,1,1,26,92,82,3.286,2.204,16.12,61.48,62.55,113.01,0.1905,4,8,0,8,8,4408,92,28,4408,-69,208,90,2,5,9,107.9,305.9,955.6,2514.1,0.653,0.646,0.758,0.949,204458,844,0,1
2,1,-1,1,0,342,37.7,0.036761675580064525,28,12,16,1,1,26,72,64,2.571,1.102,13.71,64.33,59.14,108.88,0.2011,4,12,4,8,0,4681,72,28,4681,-117,341,74,3,2,29,47.6,238.7,549.7,1938.3,0.562,0.588,0.609,0.858,239691,521,0,4
7,1,-1,1,0,264,28.0,0.04420068599293465,32,16,16,1,1,30,72,70,2.25,1.938,10.45,47.36,57.74,112.48,0.2258,16,0,12,0,4,4520,74,34,4520,-3,263,5,2,5,3,85.3,495.7,1326.7,3234.0,0.761,0.752,0.727,0.877,339352,747,0,2
11,1,-1,1,0,119,7.2,0.04896047072236317,36,20,16,1,1,34,92,88,2.556,2.691,10.07,57.31,61.88,126.38,0.2317,16,4,4,4,8,3970,92,36,3970,0,118,0,4,-1,1,13.5,220.4,493.3,2426.9,0.73,0.914,0.971,0.999,98751,306,0,2
14,1,-1,1,0,131,4.3,0.02786477966030942,20,8,12,1,1,18,56,50,2.8,1.36,18.92,60.44,61.24,120.16,0.2421,4,4,4,8,0,3496,56,20,3496,-14,130,19,4,8,7,14.6,137.1,666.8,2600.3,0.555,0.736,0.89,1.0,117201,409,0,4
10,-1,1,0,0,137,14.3,0.03069633837955081,32,12,20,1,1,30,80,76,2.5,1.5,9.92,68.04,59.19,118.42,0.1976,8,8,12,0,4,-2337,-80,-32,157,-2337,68,136,4,7,20,4.7,29.2,-65.2,-716.6,0.526,0.548,0.46,0.14,-26146,157,0,1
12,1,-1,1,0,112,10.2,0.03626596821858946,32,16,16,1,1,30,96,94,3.0,1.25,10.48,61.35,56.62,108.11,0.2137,4,8,4,16,0,3492,96,32,3492,-2,111,13,2,13,3,6.6,102.1,362.2,2142.1,0.615,0.891,0.805,0.979,73164,234,0,2
13,-1,1,0,0,131,8.6,0.04127646213962512,24,8,16,1,1,22,76,68,3.167,0.806,12.46,52.32,60.51,110.29,0.2174,0,8,4,12,0,-578,-76,-24,71,-592,36,129,3,8,20,14.7,-13.2,-67.7,-371.2,0.627,0.493,0.443,0.192,-15113,-107,0,4
