seed,w_wnn_close_res,w_mean_dist_all,w_ships,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,match_time_sec,round
1,0.4,-0.2,-0.1,-1,1,0,0,126,0,675,-675,6.2,0
0,0.4,-0.2,-0.1,1,-1,1,0,197,2733,0,2733,17.9,0
1,0.6,-0.8,-0.9,1,-1,1,0,137,4757,0,4757,5.3,0
1,0.4,-0.2,-0.5,1,-1,1,0,252,4502,0,4502,26.0,0
1,0.4,-0.2,-0.3,-1,1,0,0,194,0,959,-959,23.6,0
0,0.6,-0.8,-0.9,-1,1,0,0,154,0,684,-684,15.4,0
1,0.6,-0.8,-0.5,1,-1,1,0,137,2753,0,2753,10.6,0
1,0.6,-0.8,-0.7,-1,1,0,0,155,0,501,-501,15.3,0
0,0.6,-0.8,-0.3,-1,1,0,0,127,0,2904,-2904,7.4,0
0,0.6,-0.8,-0.5,-1,1,0,0,159,0,1909,-1909,15.1,0
1,0.6,-0.8,-0.1,1,-1,1,0,156,3916,0,3916,11.6,0
0,0.6,-0.6,-0.9,-1,1,0,0,133,0,919,-919,11.6,0
0,0.6,-0.8,-0.7,-1,1,0,0,256,0,1028,-1028,33.4,0
1,0.6,-0.6,-0.9,1,-1,1,0,137,4304,0,4304,6.9,0
0,0.6,-0.8,-0.1,1,-1,1,0,191,5200,0,5200,22.5,0
0,0.6,-0.6,-0.7,-1,1,0,0,148,0,829,-829,9.7,0
1,0.6,-0.6,-0.7,1,-1,1,0,171,383,0,383,7.1,0
1,0.6,-0.6,-0.5,1,-1,1,0,164,3297,0,3297,8.9,0
1,0.6,-0.6,-0.3,1,-1,1,0,172,2951,0,2951,11.4,0
0,0.6,-0.6,-0.5,-1,1,0,0,181,0,1205,-1205,19.7,0
0,0.6,-0.6,-0.1,1,-1,1,0,129,3392,0,3392,12.2,0
1,0.6,-0.8,-0.3,1,-1,1,0,425,18581,0,18581,45.3,0
1,0.6,-0.6,-0.1,-1,1,0,0,122,0,628,-628,8.8,0
0,0.6,-0.6,-0.3,1,-1,1,0,269,4773,0,4773,36.0,0
0,0.6,-0.4,-0.9,1,-1,1,0,179,3776,0,3776,20.1,0
1,0.6,-0.4,-0.9,-1,1,0,0,145,0,835,-835,17.0,0
1,0.6,-0.4,-0.7,1,-1,1,0,175,5644,0,5644,18.0,0
0,0.6,-0.4,-0.7,-1,1,0,0,191,0,2100,-2100,20.4,0
1,0.6,-0.4,-0.5,-1,1,0,0,192,0,204,-204,6.2,0
1,0.6,-0.4,-0.3,-1,1,0,0,145,0,2060,-2060,10.8,0
0,0.6,-0.4,-0.1,1,-1,1,0,216,5200,0,5200,11.1,0
0,0.6,-0.4,-0.3,1,-1,1,0,159,4676,0,4676,16.4,0
0,0.6,-0.4,-0.5,-1,1,0,0,175,0,837,-837,20.2,0
0,0.6,-0.2,-0.7,-1,1,0,0,155,0,408,-408,8.0,0
1,0.6,-0.2,-0.7,1,-1,1,0,112,3857,0,3857,6.2,0
0,0.6,-0.2,-0.9,-1,1,0,0,210,0,1915,-1915,13.1,0
1,0.6,-0.2,-0.9,-1,1,0,0,123,0,2487,-2487,11.1,0
1,0.6,-0.2,-0.5,-1,1,0,0,113,0,371,-371,7.3,0
1,0.6,-0.2,-0.3,-1,1,0,0,117,0,418,-418,6.1,0
0,0.6,-0.2,-0.5,1,-1,1,0,167,3331,0,3331,9.4,0
0,0.6,-0.2,-0.1,1,-1,1,0,166,2733,0,2733,11.4,0
1,0.6,-0.2,-0.1,-1,1,0,0,148,0,2243,-2243,11.2,0
0,0.6,-0.2,-0.3,1,-1,1,0,290,3463,0,3463,21.0,0
1,0.6,-0.4,-0.1,1,-1,1,0,389,8105,0,8105,42.6,0
0,0.8,-0.8,-0.9,-1,1,0,0,145,0,800,-800,14.6,0
1,0.8,-0.8,-0.5,-1,1,0,0,154,0,341,-341,8.9,0
0,0.8,-0.8,-0.7,-1,1,0,0,241,0,413,-413,14.3,0
1,0.8,-0.8,-0.9,1,-1,1,0,147,4986,0,4986,16.3,0
1,0.8,-0.8,-0.7,1,-1,1,0,240,3040,0,3040,14.7,0
0,0.8,-0.8,-0.5,-1,1,0,0,157,0,687,-687,14.8,0
0,0.8,-0.8,-0.3,1,-1,1,0,190,2668,0,2668,16.6,0
1,0.8,-0.8,-0.1,1,-1,1,0,174,3057,0,3057,16.9,0
0,0.8,-0.8,-0.1,-1,1,0,0,200,0,1463,-1463,19.5,0
0,0.8,-0.6,-0.9,-1,1,0,0,163,0,3384,-3384,20.9,0
1,0.8,-0.8,-0.3,1,-1,1,0,191,3025,0,3025,26.7,0
0,0.8,-0.6,-0.7,1,-1,1,0,143,5114,0,5114,13.9,0
0,0.8,-0.6,-0.5,-1,1,0,0,133,0,1052,-1052,9.8,0
1,0.8,-0.6,-0.7,-1,1,0,0,131,0,1075,-1075,15.7,0
1,0.8,-0.6,-0.9,-1,1,0,0,284,0,2705,-2705,26.0,0
1,0.8,-0.6,-0.5,-1,1,0,0,242,0,503,-503,17.3,0
0,0.8,-0.6,-0.3,-1,1,0,0,155,0,1546,-1546,10.0,0
1,0.8,-0.6,-0.3,1,-1,1,0,180,5424,0,5424,15.6,0
0,0.8,-0.4,-0.7,-1,1,0,0,182,0,1447,-1447,7.1,0
1,0.8,-0.6,-0.1,1,-1,1,0,202,4202,0,4202,22.6,0
1,0.8,-0.4,-0.9,1,-1,1,0,204,3565,0,3565,20.3,0
0,0.8,-0.4,-0.9,1,-1,1,0,191,5539,0,5539,22.2,0
0,0.8,-0.6,-0.1,-1,1,0,0,264,0,953,-953,32.9,0
1,0.8,-0.4,-0.7,-1,1,0,0,126,0,665,-665,12.6,0
0,0.8,-0.4,-0.5,-1,1,0,0,151,0,1316,-1316,10.8,0
1,0.8,-0.4,-0.5,1,-1,1,0,157,4012,0,4012,19.2,0
1,0.8,-0.4,-0.1,-1,1,0,0,160,0,1711,-1711,8.9,0
0,0.8,-0.4,-0.1,1,-1,1,0,176,3411,0,3411,15.6,0
1,0.8,-0.4,-0.3,-1,1,0,0,169,0,838,-838,16.6,0
0,0.8,-0.4,-0.3,1,-1,1,0,186,4945,0,4945,20.8,0
0,0.8,-0.2,-0.9,1,-1,1,0,167,2612,0,2612,7.0,0
1,0.8,-0.2,-0.7,1,-1,1,0,185,803,0,803,8.1,0
0,0.8,-0.2,-0.5,1,-1,1,0,174,3367,0,3367,20.2,0
1,0.8,-0.2,-0.5,-1,1,0,0,121,0,1132,-1132,17.1,0
0,0.8,-0.2,-0.3,-1,1,0,0,166,0,2580,-2580,19.5,0
1,0.8,-0.2,-0.3,1,-1,1,0,160,2850,0,2850,8.6,0
0,0.8,-0.2,-0.7,1,-1,1,0,211,4695,0,4695,30.6,0
1,0.8,-0.2,-0.9,-1,1,0,0,282,0,2328,-2328,39.0,0
1,0.8,-0.2,-0.1,-1,1,0,0,182,0,522,-522,9.1,0
1,1.0,-0.8,-0.7,1,-1,1,0,152,3327,0,3327,5.1,0
0,0.8,-0.2,-0.1,-1,1,0,0,186,0,3947,-3947,22.3,0
