seed,w_ships,w_n_cross,w_wnn_close_res,reward_our,reward_sub,win,draw,steps,ships_our_final,ships_sub_final,ships_diff,match_time_sec,round
0,-0.3,1.1,0.8,-1,1,0,0,114,0,1581,-1581,10.3,0
1,-0.3,1.1,0.8,1,-1,1,0,169,3110,0,3110,12.9,0
0,-0.3,1.1,-0.4,1,-1,1,0,246,5316,0,5316,37.1,0
1,0.2,0.3,-0.8,-1,1,0,0,155,0,3501,-3501,14.9,0
0,0.2,0.3,-0.8,1,-1,1,0,269,3314,0,3314,22.5,0
0,0.2,0.3,-0.4,1,-1,1,0,181,4475,0,4475,22.6,0
1,0.2,0.3,0.4,-1,1,0,0,184,0,2268,-2268,12.2,0
0,0.2,0.3,0.4,1,-1,1,0,222,2780,0,2780,14.9,0
1,0.2,0.3,0.8,-1,1,0,0,133,0,854,-854,7.7,0
0,0.2,0.5,-0.8,1,-1,1,0,142,3237,0,3237,6.0,0
1,0.2,0.3,-0.4,-1,1,0,0,192,0,2975,-2975,23.2,0
0,0.2,0.3,0.8,1,-1,1,0,199,3188,0,3188,16.3,0
1,0.2,0.5,-0.4,1,-1,1,0,158,4189,0,4189,12.8,0
0,0.2,0.5,0.4,-1,1,0,0,143,0,4004,-4004,12.7,0
1,0.2,0.5,0.4,1,-1,1,0,165,3246,0,3246,10.9,0
0,0.2,0.5,-0.4,-1,1,0,0,137,0,977,-977,15.4,0
1,0.2,0.5,-0.8,1,-1,1,0,198,5881,0,5881,18.9,0
1,0.2,0.5,0.8,1,-1,1,0,162,2694,0,2694,7.2,0
0,0.2,0.7,-0.4,1,-1,1,0,165,2707,0,2707,9.5,0
0,0.2,0.7,-0.8,1,-1,1,0,128,3591,0,3591,10.7,0
1,0.2,0.7,-0.4,1,-1,1,0,149,2511,0,2511,6.6,0
1,0.2,0.7,-0.8,1,-1,1,0,182,3506,0,3506,13.4,0
0,0.2,0.5,0.8,1,-1,1,0,203,3955,0,3955,19.8,0
0,0.2,0.7,0.4,1,-1,1,0,190,1905,0,1905,11.2,0
1,0.2,0.7,0.4,-1,1,0,0,140,0,2529,-2529,12.9,0
1,0.2,0.7,0.8,-1,1,0,0,173,0,1067,-1067,10.2,0
0,0.2,0.9,-0.8,-1,1,0,0,176,0,2093,-2093,17.3,0
1,0.2,0.9,-0.8,1,-1,1,0,184,4148,0,4148,14.1,0
0,0.2,0.7,0.8,-1,1,0,0,290,0,2171,-2171,23.6,0
0,0.2,0.9,-0.4,1,-1,1,0,225,3415,0,3415,13.1,0
1,0.2,0.9,0.4,1,-1,1,0,141,3475,0,3475,5.0,0
0,0.2,0.9,0.8,1,-1,1,0,155,2353,0,2353,9.3,0
0,0.2,0.9,0.4,-1,1,0,0,162,0,1562,-1562,18.0,0
1,0.2,0.9,-0.4,1,-1,1,0,242,6930,0,6930,31.5,0
1,0.2,0.9,0.8,1,-1,1,0,195,4444,0,4444,19.9,0
0,0.2,1.1,-0.8,1,-1,1,0,182,4296,0,4296,20.7,0
0,0.2,1.1,-0.4,1,-1,1,0,173,3241,0,3241,8.4,0
1,0.2,1.1,-0.4,1,-1,1,0,158,3867,0,3867,11.4,0
0,0.2,1.1,0.4,1,-1,1,0,198,3440,0,3440,10.3,0
1,0.2,1.1,-0.8,-1,1,0,0,182,0,1936,-1936,22.5,0
0,0.2,1.1,0.8,-1,1,0,0,126,0,1944,-1944,9.7,0
1,0.2,1.1,0.8,1,-1,1,0,193,3465,0,3465,15.2,0
0,0.5,0.3,-0.8,-1,1,0,0,152,0,921,-921,17.2,0
0,0.5,0.3,-0.4,1,-1,1,0,162,4846,0,4846,16.0,0
1,0.2,1.1,0.4,1,-1,1,0,236,3580,0,3580,28.8,0
1,0.5,0.3,-0.4,-1,1,0,0,107,0,549,-549,11.9,0
0,0.5,0.3,0.4,-1,1,0,0,121,0,567,-567,10.0,0
1,0.5,0.3,-0.8,1,-1,1,0,256,4532,0,4532,30.2,0
1,0.5,0.3,0.4,-1,1,0,0,160,0,1198,-1198,18.0,0
1,0.5,0.5,-0.8,-1,1,0,0,196,0,656,-656,10.9,0
0,0.5,0.3,0.8,-1,1,0,0,224,0,3397,-3397,25.8,0
1,0.5,0.5,-0.4,1,-1,1,0,159,3600,0,3600,7.2,0
0,0.5,0.5,-0.8,1,-1,1,0,202,5231,0,5231,24.3,0
0,0.5,0.5,-0.4,1,-1,1,0,161,4343,0,4343,14.3,0
1,0.5,0.5,0.4,-1,1,0,0,95,0,507,-507,6.0,0
0,0.5,0.5,0.8,1,-1,1,0,196,2519,0,2519,5.8,0
0,0.5,0.5,0.4,1,-1,1,0,176,2783,0,2783,11.9,0
1,0.5,0.3,0.8,-1,1,0,0,291,0,3259,-3259,39.7,0
1,0.5,0.5,0.8,1,-1,1,0,177,3380,0,3380,15.7,0
1,0.5,0.7,-0.8,-1,1,0,0,154,0,1593,-1593,13.2,0
0,0.5,0.7,-0.8,-1,1,0,0,151,0,1394,-1394,16.6,0
0,0.5,0.7,-0.4,-1,1,0,0,152,0,1071,-1071,12.0,0
1,0.5,0.7,-0.4,-1,1,0,0,205,0,453,-453,9.2,0
0,0.5,0.7,0.4,1,-1,1,0,176,3431,0,3431,13.3,0
1,0.5,0.7,0.4,-1,1,0,0,166,0,2380,-2380,12.0,0
0,0.5,0.9,-0.8,-1,1,0,0,138,0,431,-431,13.0,0
1,0.5,0.7,0.8,1,-1,1,0,205,5675,0,5675,17.2,0
0,0.5,0.9,-0.4,1,-1,1,0,189,2418,0,2418,10.6,0
0,0.5,0.7,0.8,1,-1,1,0,209,4412,0,4412,22.1,0
1,0.5,0.9,-0.4,-1,1,0,0,108,0,521,-521,6.0,0
1,0.5,0.9,-0.8,-1,1,0,0,188,0,1362,-1362,19.5,0
1,0.5,0.9,0.4,1,-1,1,0,219,7937,0,7937,11.7,0
0,0.5,0.9,0.8,1,-1,1,0,159,4242,0,4242,11.0,0
0,0.5,1.1,-0.8,1,-1,1,0,155,3106,0,3106,7.1,0
0,0.5,1.1,-0.4,1,-1,1,0,167,3163,0,3163,10.6,0
1,0.5,0.9,0.8,1,-1,1,0,220,5558,0,5558,21.1,0
1,0.5,1.1,-0.4,-1,1,0,0,114,0,546,-546,11.9,0
0,0.5,1.1,0.4,1,-1,1,0,152,2159,0,2159,8.8,0
0,0.5,0.9,0.4,1,-1,1,0,281,9323,0,9323,38.7,0
1,0.5,1.1,-0.8,-1,1,0,0,211,0,917,-917,26.3,0
0,0.5,1.1,0.8,-1,1,0,0,182,0,605,-605,13.1,0
0,0.7,0.3,-0.8,-1,1,0,0,144,0,1611,-1611,10.3,0
1,0.5,1.1,0.8,-1,1,0,0,115,0,741,-741,15.0,0
0,0.7,0.3,-0.4,1,-1,1,0,124,3143,0,3143,7.3,0
1,0.5,1.1,0.4,1,-1,1,0,188,6406,0,6406,27.6,0
1,0.7,0.3,-0.4,-1,1,0,0,133,0,796,-796,4.2,0
1,0.7,0.3,-0.8,-1,1,0,0,190,0,1037,-1037,12.6,0
0,0.7,0.3,0.4,-1,1,0,0,146,0,3601,-3601,12.3,0
1,0.7,0.3,0.8,1,-1,1,0,140,4000,0,4000,8.4,0
0,0.7,0.3,0.8,-1,1,0,0,146,0,600,-600,10.4,0
1,0.7,0.3,0.4,1,-1,1,0,192,4133,0,4133,15.4,0
1,0.7,0.5,-0.8,-1,1,0,0,141,0,1494,-1494,8.5,0
0,0.7,0.5,-0.4,1,-1,1,0,174,3567,0,3567,9.6,0
0,0.7,0.5,0.4,-1,1,0,0,97,0,280,-280,5.6,0
0,0.7,0.5,-0.8,-1,1,0,0,215,0,2156,-2156,26.6,0
1,0.7,0.5,0.4,1,-1,1,0,191,3268,0,3268,13.7,0
1,0.7,0.5,-0.4,1,-1,1,0,247,5091,0,5091,24.4,0
1,0.7,0.7,-0.8,1,-1,1,0,198,2751,0,2751,10.7,0
0,0.7,0.7,-0.8,1,-1,1,0,161,4631,0,4631,14.8,0
1,0.7,0.7,-0.4,1,-1,1,0,145,2376,0,2376,4.8,0
1,0.7,0.5,0.8,1,-1,1,0,272,3520,0,3520,27.7,0
0,0.7,0.5,0.8,1,-1,1,0,227,5565,0,5565,34.4,0
1,0.7,0.7,0.4,-1,1,0,0,168,0,407,-407,9.8,0
0,0.7,0.7,-0.4,1,-1,1,0,283,2976,0,2976,25.1,0
0,0.7,0.7,0.8,1,-1,1,0,248,3117,0,3117,14.8,0
0,0.7,0.7,0.4,-1,1,0,0,185,0,3414,-3414,20.9,0
1,0.7,0.7,0.8,-1,1,0,0,166,0,3204,-3204,13.9,0
0,0.7,0.9,-0.4,-1,1,0,0,112,0,449,-449,6.1,0
1,0.7,0.9,-0.8,-1,1,0,0,222,0,2141,-2141,11.2,0
0,0.7,0.9,-0.8,-1,1,0,0,231,0,1067,-1067,25.3,0
0,0.7,0.9,0.4,-1,1,0,0,145,0,3036,-3036,14.9,0
1,0.7,0.9,-0.4,1,-1,1,0,225,4256,0,4256,19.8,0
1,0.7,0.9,0.4,1,-1,1,0,161,4410,0,4410,16.5,0
0,0.7,0.9,0.8,-1,1,0,0,177,0,5211,-5211,18.1,0
1,0.7,0.9,0.8,-1,1,0,0,176,0,3765,-3765,17.1,0
0,0.7,1.1,-0.4,1,-1,1,0,243,3224,0,3224,15.7,0
0,0.7,1.1,-0.8,1,-1,1,0,160,2692,0,2692,23.8,0
0,0.7,1.1,0.8,-1,1,0,0,126,0,1521,-1521,6.1,0
1,0.7,1.1,0.4,-1,1,0,0,188,0,965,-965,12.6,0
1,0.7,1.1,-0.8,1,-1,1,0,282,7400,0,7400,32.0,0
1,0.7,1.1,-0.4,1,-1,1,0,289,3396,0,3396,27.8,0
0,0.7,1.1,0.4,1,-1,1,0,217,5907,0,5907,24.6,0
1,0.7,1.1,0.8,1,-1,1,0,187,1167,0,1167,13.6,0
1000,0.2,0.9,-0.4,1,-1,1,0,242,4149,0,4149,11.1,1
1000,0.5,0.9,0.4,1,-1,1,0,172,4458,0,4458,12.4,1
1002,0.5,0.9,0.4,-1,1,0,0,186,0,2395,-2395,19.1,1
1001,0.5,0.9,0.4,-1,1,0,0,199,0,909,-909,24.4,1
1002,0.2,0.9,-0.4,-1,1,0,0,126,0,812,-812,13.3,1
1000,0.7,1.1,-0.8,-1,1,0,0,139,0,1302,-1302,13.1,1
1001,0.2,0.9,-0.4,1,-1,1,0,227,5905,0,5905,30.7,1
1001,0.7,1.1,-0.8,1,-1,1,0,227,3073,0,3073,12.0,1
1000,0.5,0.7,0.8,1,-1,1,0,132,4097,0,4097,8.7,1
1002,0.7,1.1,-0.8,-1,1,0,0,155,0,755,-755,11.8,1
1002,0.5,0.7,0.8,1,-1,1,0,150,2267,0,2267,7.2,1
1001,0.5,0.9,0.8,1,-1,1,0,138,2336,0,2336,7.4,1
1000,0.5,0.9,0.8,1,-1,1,0,207,3444,0,3444,12.4,1
1000,0.2,0.5,-0.8,-1,1,0,0,134,0,1546,-1546,12.1,1
1001,0.2,0.5,-0.8,1,-1,1,0,201,2381,0,2381,16.7,1
1001,0.5,0.7,0.8,1,-1,1,0,278,6903,0,6903,34.7,1
1002,0.5,0.9,0.8,-1,1,0,0,173,0,527,-527,27.0,1
1002,0.2,0.5,-0.8,-1,1,0,0,205,0,641,-641,21.6,1
1002,0.7,0.5,0.8,1,-1,1,0,169,6149,0,6149,12.4,1
1000,0.7,0.5,0.8,1,-1,1,0,225,3744,0,3744,25.6,1
1000,-1.0,0.5,-0.8,1,-1,1,0,222,2570,0,2570,12.9,1
1001,-1.0,0.5,-0.8,-1,1,0,0,246,0,1588,-1588,21.2,1
1001,0.7,0.5,0.8,1,-1,1,0,254,6174,0,6174,29.9,1
1002,0.7,0.5,-0.4,-1,1,0,0,129,0,4460,-4460,7.4,1
1000,0.5,1.1,0.4,1,-1,1,0,179,1998,0,1998,9.1,1
1000,0.7,0.5,-0.4,-1,1,0,0,229,0,1509,-1509,23.3,1
1002,-1.0,0.5,-0.8,1,-1,1,0,299,5150,0,5150,26.8,1
1001,0.7,0.5,-0.4,-1,1,0,0,227,0,2457,-2457,25.2,1
1002,0.5,1.1,0.4,-1,1,0,0,143,0,767,-767,12.9,1
1002,-1.0,0.5,0.8,-1,1,0,0,121,0,486,-486,9.6,1
1001,-1.0,0.5,0.8,-1,1,0,0,186,0,662,-662,14.8,1
1000,0.5,0.5,-0.4,-1,1,0,0,151,0,3751,-3751,9.3,1
1000,-1.0,0.5,0.4,1,-1,1,0,150,3294,0,3294,6.6,1
1002,0.5,0.5,-0.4,1,-1,1,0,230,1548,0,1548,11.8,1
1001,0.5,1.1,0.4,1,-1,1,0,301,3663,0,3663,39.3,1
1002,-1.0,0.5,0.4,1,-1,1,0,222,2053,0,2053,11.4,1
1001,0.5,0.5,-0.4,-1,1,0,0,213,0,4666,-4666,29.4,1
1000,-1.0,0.5,0.8,-1,1,0,0,316,0,985,-985,44.2,1
1001,-1.0,0.5,0.4,-1,1,0,0,148,0,1574,-1574,18.5,1
1001,0.7,0.7,-0.8,1,-1,1,0,125,3732,0,3732,7.7,1
1002,0.7,0.7,-0.8,-1,1,0,0,155,0,1182,-1182,10.3,1
1002,0.2,1.1,-0.4,1,-1,1,0,153,3336,0,3336,10.4,1
1000,0.7,0.7,-0.8,1,-1,1,0,222,3742,0,3742,23.1,1
1000,0.2,1.1,-0.4,-1,1,0,0,194,0,2971,-2971,16.2,1
1001,0.2,1.1,-0.4,1,-1,1,0,232,4411,0,4411,18.0,1
1001,0.2,0.7,-0.8,1,-1,1,0,136,2563,0,2563,6.7,1
1000,0.2,1.1,0.4,1,-1,1,0,149,3776,0,3776,9.3,1
1002,0.2,0.7,-0.8,-1,1,0,0,155,0,860,-860,14.2,1
1000,0.2,0.7,-0.8,-1,1,0,0,209,0,1740,-1740,19.8,1
1002,0.2,1.1,0.4,-1,1,0,0,156,0,1443,-1443,10.7,1
1001,0.2,1.1,0.4,1,-1,1,0,150,5147,0,5147,13.4,1
1000,0.2,0.9,0.8,-1,1,0,0,136,0,2503,-2503,12.1,1
1000,-1.0,0.3,0.8,1,-1,1,0,201,4779,0,4779,19.0,1
1001,0.2,0.9,0.8,1,-1,1,0,214,4836,0,4836,20.4,1
1002,-1.0,0.3,0.8,1,-1,1,0,260,5012,0,5012,27.4,1
